"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.412443500E-2,5.443671346E-2,-1.262213886E-1,9.832706451E0,9.833667238E0
2.656808100E-2,5.204389244E-2,-1.286142170E-1,9.854242325E0,9.855219022E0
2.901256000E-2,5.204389244E-2,-1.214357466E-1,9.892526627E0,9.893408829E0
3.145704000E-2,6.400800496E-2,-1.357926875E-1,9.861420631E0,9.862563234E0
3.390141500E-2,6.161518395E-2,-1.333998591E-1,9.856635094E0,9.857730333E0
3.634672700E-2,6.640082598E-2,-1.576271951E-1,9.885348320E0,9.886827945E0
3.879037300E-2,7.118647546E-2,-1.357926875E-1,9.868598938E0,9.869789875E0
4.123485200E-2,7.357929647E-2,-1.166501045E-1,9.854242325E0,9.855207403E0
4.368011200E-2,7.836493850E-2,-1.046859920E-1,9.859027863E0,9.859895061E0
4.612370600E-2,8.793623000E-2,-1.333998591E-1,9.890133858E0,9.891424368E0
4.856823700E-2,9.511470050E-2,-9.750752151E-2,9.863813400E0,9.864753890E0
5.101271700E-2,7.357929647E-2,-1.094716340E-1,9.856635094E0,9.857517604E0
5.345709200E-2,8.315058798E-2,-9.990034252E-2,9.875777245E0,9.876632538E0
5.590240400E-2,9.990034252E-2,-9.750752151E-2,9.880562782E0,9.881548901E0
5.834599800E-2,8.554340899E-2,-9.511470050E-2,9.906884193E0,9.907710074E0
6.079052900E-2,9.990034252E-2,-8.075776696E-2,9.880562782E0,9.881397816E0
6.323579000E-2,9.272187948E-2,-8.315058798E-2,9.923633575E0,9.924415081E0
6.567938300E-2,8.554340899E-2,-7.357929647E-2,9.885348320E0,9.885992262E0
6.812391500E-2,8.793623000E-2,-8.793623000E-2,9.880562782E0,9.881345377E0
7.056829000E-2,8.075776696E-2,-9.990034252E-2,9.906884193E0,9.907717008E0
7.301282100E-2,9.990034252E-2,-5.682953820E-2,9.863813400E0,9.864482980E0
7.545808100E-2,8.075776696E-2,-7.597211748E-2,9.897313118E0,9.897934155E0
7.790167500E-2,9.032905847E-2,-7.118647546E-2,9.873384476E0,9.874054277E0
8.034620600E-2,8.075776696E-2,-8.315058798E-2,9.835099220E0,9.835782252E0
8.279146700E-2,5.922235921E-2,-8.793623000E-2,9.863813400E0,9.864383147E0
8.523506000E-2,6.640082598E-2,-1.022931710E-1,9.873384476E0,9.874137632E0
8.767959200E-2,6.400800496E-2,-9.990034252E-2,9.859027863E0,9.859741756E0
9.012396700E-2,8.075776696E-2,-1.046859920E-1,9.844670296E0,9.845558095E0
9.256849800E-2,6.400800496E-2,-1.142572835E-1,9.885348320E0,9.886215816E0
9.501375800E-2,6.400800496E-2,-1.238285750E-1,9.885348320E0,9.886331066E0
9.745735200E-2,6.400800496E-2,-1.190429255E-1,9.856635094E0,9.857561748E0
9.990183100E-2,6.640082598E-2,-1.214357466E-1,9.882955551E0,9.883924632E0
1.023470920E-1,7.118647546E-2,-1.310070455E-1,9.873384476E0,9.874510184E0
1.047907370E-1,6.640082598E-2,-1.118644550E-1,9.854242325E0,9.855100939E0
1.072352170E-1,5.204389244E-2,-1.310070455E-1,9.878170013E0,9.879175787E0
1.096796960E-1,5.922235921E-2,-1.286142170E-1,9.882955551E0,9.883969816E0
1.121241750E-1,6.400800496E-2,-1.333998591E-1,9.859027863E0,9.860138079E0
1.145693830E-1,4.247260094E-2,-1.118644550E-1,9.854242325E0,9.854968766E0
1.170130290E-1,6.400800496E-2,-1.214357466E-1,9.878170013E0,9.879123771E0
1.194575080E-1,6.161518395E-2,-9.990034252E-2,9.890133858E0,9.890830311E0
1.219027690E-1,6.400800496E-2,-9.990034252E-2,9.887741089E0,9.888452910E0
1.243464150E-1,6.161518395E-2,-8.075776696E-2,9.870991707E0,9.871514348E0
1.267908940E-1,6.400800496E-2,-8.315058798E-2,9.899705887E0,9.900262001E0
1.292353730E-1,7.357929647E-2,-8.315058798E-2,9.885348320E0,9.885971846E0
1.316797480E-1,7.118647546E-2,-7.597211748E-2,9.899705887E0,9.900253326E0
1.341250600E-1,5.682953820E-2,-8.075776696E-2,9.899705887E0,9.900198385E0
1.365686540E-1,7.597211748E-2,-9.272187948E-2,9.875777245E0,9.876504710E0
1.390131850E-1,7.357929647E-2,-8.793623000E-2,9.882955551E0,9.883620648E0
