"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.173783300E-2,9.990034252E-2,-2.581257522E-1,-9.875477791E0,9.879355778E0
3.418314600E-2,8.075776696E-2,-2.724826932E-1,-9.865906715E0,9.869999187E0
3.662757300E-2,8.793623000E-2,-2.509472668E-1,-9.887442589E0,9.891017554E0
3.907127100E-2,9.750752151E-2,-2.653042078E-1,-9.899406433E0,9.903440905E0
4.151585400E-2,8.315058798E-2,-2.748754919E-1,-9.875477791E0,9.879652431E0
4.396111500E-2,1.022931710E-1,-2.485544533E-1,-9.906584740E0,9.910230291E0
4.640554200E-2,8.554340899E-2,-2.605185509E-1,-9.899406433E0,9.903203286E0
4.884929200E-2,9.511470050E-2,-2.581257522E-1,-9.901799202E0,9.905619776E0
5.129377100E-2,9.511470050E-2,-2.653042078E-1,-9.889835358E0,9.893850440E0
5.373913600E-2,8.554340899E-2,-2.581257522E-1,-9.873085022E0,9.876829169E0
5.618356300E-2,9.032905847E-2,-2.629113793E-1,-9.894620895E0,9.898525365E0
5.862726100E-2,8.554340899E-2,-2.509472668E-1,-9.875477791E0,9.879036077E0
6.107174000E-2,9.990034252E-2,-2.509472668E-1,-9.877870560E0,9.881562700E0
6.351710400E-2,1.022931710E-1,-2.557329237E-1,-9.885049820E0,9.888886346E0
6.596153100E-2,1.046859920E-1,-2.605185509E-1,-9.904191971E0,9.908170753E0
6.840522900E-2,1.046859920E-1,-2.485544533E-1,-9.906584740E0,9.910255278E0
7.084981300E-2,1.046859920E-1,-2.700898647E-1,-9.887442589E0,9.891684823E0
7.329507300E-2,8.075776696E-2,-2.820539773E-1,-9.901799202E0,9.906144745E0
7.573955200E-2,1.094716340E-1,-2.700898647E-1,-9.887442589E0,9.891736628E0
7.818325000E-2,9.750752151E-2,-2.461616248E-1,-9.868299484E0,9.871850788E0
8.062772900E-2,8.793623000E-2,-2.533400953E-1,-9.889835358E0,9.893470442E0
8.307309400E-2,8.315058798E-2,-2.581257522E-1,-9.894620895E0,9.898336506E0
8.551752100E-2,8.075776696E-2,-2.653042078E-1,-9.889835358E0,9.893722835E0
8.796121900E-2,6.879365444E-2,-2.485544533E-1,-9.885049820E0,9.888413514E0
9.040569800E-2,8.315058798E-2,-2.509472668E-1,-9.877870560E0,9.881407559E0
9.285106300E-2,7.357929647E-2,-2.437688112E-1,-9.887442589E0,9.890720808E0
9.529549000E-2,8.793623000E-2,-2.485544533E-1,-9.892228127E0,9.895740973E0
9.773918800E-2,7.836493850E-2,-2.605185509E-1,-9.887442589E0,9.891184556E0
1.001837710E-1,8.554340899E-2,-2.533400953E-1,-9.880263329E0,9.883880934E0
1.026290310E-1,1.070788130E-1,-2.772683203E-1,-9.877870560E0,9.882341341E0
1.050735110E-1,9.032905847E-2,-2.700898647E-1,-9.897013664E0,9.901110410E0
1.075172080E-1,8.315058798E-2,-2.676970363E-1,-9.894620895E0,9.898590727E0
1.099616880E-1,1.022931710E-1,-2.581257522E-1,-9.889835358E0,9.893732167E0
1.124070520E-1,1.022931710E-1,-2.605185509E-1,-9.899406433E0,9.903362133E0
1.148514790E-1,9.511470050E-2,-2.653042078E-1,-9.868299484E0,9.872323325E0
1.172951770E-1,8.315058798E-2,-2.653042078E-1,-9.892228127E0,9.896134480E0
1.197397610E-1,9.990034252E-2,-2.700898647E-1,-9.885049820E0,9.889243579E0
1.221850210E-1,9.511470050E-2,-2.724826932E-1,-9.887442589E0,9.891653783E0
1.246295000E-1,9.511470050E-2,-2.533400953E-1,-9.897013664E0,9.900712473E0
1.270731980E-1,9.750752151E-2,-2.605185509E-1,-9.906584740E0,9.910489334E0
1.295176770E-1,1.094716340E-1,-2.629113793E-1,-9.901799202E0,9.905893895E0
1.319630420E-1,8.075776696E-2,-2.485544533E-1,-9.889835358E0,9.893287853E0
1.344074690E-1,9.272187948E-2,-2.653042078E-1,-9.875477791E0,9.879475961E0
1.368511670E-1,1.118644550E-1,-2.581257522E-1,-9.897013664E0,9.901011162E0
1.392956460E-1,1.070788130E-1,-2.629113793E-1,-9.894620895E0,9.898692385E0
1.417410110E-1,1.118644550E-1,-2.533400953E-1,-9.892228127E0,9.896103888E0
1.441854380E-1,8.554340899E-2,-2.700898647E-1,-9.889835358E0,9.893892541E0
1.466291880E-1,1.046859920E-1,-2.581257522E-1,-9.868299484E0,9.872229878E0
1.490736670E-1,9.750752151E-2,-2.748754919E-1,-9.868299484E0,9.872608519E0
1.515189790E-1,8.793623000E-2,-2.748754919E-1,-9.885049820E0,9.889261816E0
1.539634580E-1,9.750752151E-2,-2.653042078E-1,-9.877870560E0,9.881913824E0
1.564071560E-1,9.272187948E-2,-2.629113793E-1,-9.877870560E0,9.881803810E0
1.588516360E-1,8.793623000E-2,-2.437688112E-1,-9.892228127E0,9.895621927E0
1.612970000E-1,1.022931710E-1,-2.605185509E-1,-9.899406433E0,9.903362133E0
1.637414270E-1,1.070788130E-1,-2.581257522E-1,-9.882657051E0,9.886607364E0
1.661851250E-1,8.554340899E-2,-2.509472668E-1,-9.901799202E0,9.905348032E0
1.686297080E-1,7.836493850E-2,-2.485544533E-1,-9.899406433E0,9.902836367E0
1.710749690E-1,6.879365444E-2,-2.605185509E-1,-9.873085022E0,9.876761126E0
1.735194480E-1,7.118647546E-2,-2.557329237E-1,-9.875477791E0,9.879044915E0
1.759631460E-1,9.032905847E-2,-2.557329237E-1,-9.873085022E0,9.876809531E0
1.784076250E-1,8.554340899E-2,-2.389831543E-1,-9.887442589E0,9.890700257E0
1.808529900E-1,8.075776696E-2,-2.605185509E-1,-9.887442589E0,9.891203803E0
1.832974170E-1,8.075776696E-2,-2.748754919E-1,-9.906584740E0,9.910726490E0
1.857411150E-1,8.793623000E-2,-2.700898647E-1,-9.885049820E0,9.889129955E0
1.881856980E-1,7.357929647E-2,-2.653042078E-1,-9.894620895E0,9.898450530E0
1.906309580E-1,8.793623000E-2,-2.772683203E-1,-9.899406433E0,9.903679025E0
1.930754380E-1,9.272187948E-2,-2.676970363E-1,-9.870692253E0,9.874756939E0
1.955191360E-1,9.511470050E-2,-2.605185509E-1,-9.870692253E0,9.874587702E0
1.979636150E-1,1.022931710E-1,-2.461616248E-1,-9.868299484E0,9.871899217E0
2.004089790E-1,9.272187948E-2,-2.653042078E-1,-9.904191971E0,9.908178554E0
2.028534060E-1,1.022931710E-1,-2.676970363E-1,-9.873085022E0,9.877243211E0
2.052971040E-1,9.750752151E-2,-2.605185509E-1,-9.880263329E0,9.884178321E0
2.077415830E-1,9.990034252E-2,-2.676970363E-1,-9.899406433E0,9.903529144E0
2.101869480E-1,7.357929647E-2,-2.700898647E-1,-9.899406433E0,9.903363579E0
2.126313750E-1,8.554340899E-2,-2.581257522E-1,-9.856335640E0,9.860086147E0
2.150750730E-1,9.511470050E-2,-2.653042078E-1,-9.873085022E0,9.877106913E0
2.175196560E-1,1.094716340E-1,-2.605185509E-1,-9.894620895E0,9.898655293E0
2.199649170E-1,9.990034252E-2,-2.772683203E-1,-9.885049820E0,9.889442236E0
2.224093960E-1,9.272187948E-2,-2.629113793E-1,-9.882657051E0,9.886588397E0
2.248530940E-1,9.272187948E-2,-2.700898647E-1,-9.880263329E0,9.884389173E0
2.272975730E-1,9.750752151E-2,-2.557329237E-1,-9.889835358E0,9.893621705E0
2.297429380E-1,1.046859920E-1,-2.509472668E-1,-9.889835358E0,9.893572514E0
2.321873650E-1,7.118647546E-2,-2.389831543E-1,-9.904191971E0,9.907330572E0
2.346310630E-1,9.990034252E-2,-2.437688112E-1,-9.892228127E0,9.895735476E0
2.370756460E-1,1.046859920E-1,-2.724826932E-1,-9.897013664E0,9.901317359E0
2.395209060E-1,9.750752151E-2,-2.485544533E-1,-9.889835358E0,9.893438757E0
2.419653860E-1,9.032905847E-2,-2.629113793E-1,-9.873085022E0,9.876998005E0
2.444090830E-1,9.750752151E-2,-2.461616248E-1,-9.889835358E0,9.893378931E0
2.468535630E-1,9.990034252E-2,-2.629113793E-1,-9.882657051E0,9.886658326E0
2.492989270E-1,9.990034252E-2,-2.629113793E-1,-9.887442589E0,9.891441928E0
2.517433540E-1,1.022931710E-1,-2.724826932E-1,-9.885049820E0,9.889333681E0
2.541870520E-1,9.511470050E-2,-2.653042078E-1,-9.894620895E0,9.898634037E0
2.566316360E-1,1.070788130E-1,-2.676970363E-1,-9.894620895E0,9.898820649E0
2.590768960E-1,9.272187948E-2,-2.629113793E-1,-9.897013664E0,9.900939310E0
2.615213750E-1,1.070788130E-1,-2.605185509E-1,-9.908977509E0,9.912979928E0
2.639650730E-1,1.070788130E-1,-2.557329237E-1,-9.870692253E0,9.874585093E0
2.664095520E-1,9.511470050E-2,-2.605185509E-1,-9.875477791E0,9.879371352E0
2.688549170E-1,8.315058798E-2,-2.605185509E-1,-9.889835358E0,9.893615484E0
2.712993440E-1,9.990034252E-2,-2.581257522E-1,-9.875477791E0,9.879355778E0
2.737430420E-1,8.315058798E-2,-2.461616248E-1,-9.894620895E0,9.898031735E0
2.761875210E-1,8.075776696E-2,-2.509472668E-1,-9.892228127E0,9.895740177E0
2.786328860E-1,1.046859920E-1,-2.485544533E-1,-9.894620895E0,9.898295870E0
2.810773130E-1,9.750752151E-2,-2.676970363E-1,-9.899406433E0,9.903505296E0
2.835210630E-1,1.094716340E-1,-2.700898647E-1,-9.885049820E0,9.889344898E0
2.859655420E-1,1.022931710E-1,-2.509472668E-1,-9.899406433E0,9.903114972E0
2.884109060E-1,8.554340899E-2,-2.437688112E-1,-9.889835358E0,9.893209000E0
2.908553330E-1,1.046859920E-1,-2.676970363E-1,-9.889835358E0,9.894011535E0
2.932990310E-1,9.272187948E-2,-2.581257522E-1,-9.925727844E0,9.929516579E0
