"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.437803800E-2,9.941879272E0,-2.126621157E-1,2.874378264E-1,9.948306848E0
2.682137100E-2,9.939486504E0,-2.341975123E-1,3.113660514E-1,9.947119646E0
2.926559000E-2,9.946664810E0,-2.174477577E-1,2.898306549E-1,9.953262087E0
3.170980900E-2,9.951450348E0,-2.198405862E-1,2.970091105E-1,9.958308507E0
3.415397500E-2,9.929914474E0,-2.126621157E-1,2.874378264E-1,9.936349790E0
3.659892300E-2,9.941879272E0,-1.911267042E-1,3.089732230E-1,9.948515333E0
3.904225700E-2,9.958628654E0,-2.102692872E-1,3.041875660E-1,9.965491856E0
4.148652700E-2,9.951450348E0,-2.126621157E-1,2.874378264E-1,9.957871746E0
4.393147500E-2,9.929914474E0,-2.222333997E-1,2.946162820E-1,9.936769491E0
4.637480900E-2,9.956235886E0,-2.054836452E-1,3.041875660E-1,9.963000884E0
4.881902700E-2,9.941879272E0,-2.102692872E-1,2.994019389E-1,9.948608856E0
5.126324600E-2,9.961021423E0,-2.030908167E-1,3.161516786E-1,9.968106418E0
5.370741300E-2,9.944272041E0,-2.222333997E-1,3.113660514E-1,9.951627150E0
5.615241300E-2,9.929914474E0,-2.054836452E-1,3.065803945E-1,9.936770931E0
5.859574600E-2,9.929914474E0,-2.054836452E-1,3.137588799E-1,9.936995000E0
6.103996500E-2,9.929914474E0,-2.126621157E-1,3.113660514E-1,9.937070769E0
6.348491300E-2,9.927521706E0,-2.341975123E-1,2.970091105E-1,9.934724460E0
6.592824600E-2,9.944272041E0,-2.198405862E-1,3.041875660E-1,9.951351988E0
6.837251700E-2,9.946664810E0,-2.030908167E-1,2.898306549E-1,9.952958783E0
7.081668400E-2,9.927521706E0,-2.150549293E-1,3.017947674E-1,9.934435863E0
7.326085000E-2,9.934700966E0,-2.150549293E-1,2.922234535E-1,9.941324180E0
7.570585000E-2,9.937093735E0,-2.030908167E-1,2.994019389E-1,9.943677353E0
7.814918400E-2,9.920343399E0,-2.126621157E-1,2.994019389E-1,9.927138553E0
8.059340200E-2,9.939486504E0,-2.126621157E-1,2.802593410E-1,9.945710755E0
8.303840200E-2,9.946664810E0,-2.198405862E-1,3.161516786E-1,9.954115863E0
8.548168400E-2,9.934700966E0,-2.030908167E-1,3.017947674E-1,9.941358521E0
8.792595500E-2,9.927521706E0,-2.150549293E-1,2.946162820E-1,9.934220382E0
9.037012100E-2,9.946664810E0,-2.078764737E-1,3.137588799E-1,9.953783105E0
9.281428800E-2,9.929914474E0,-1.959123611E-1,2.946162820E-1,9.936215672E0
9.525928800E-2,9.939486504E0,-2.078764737E-1,3.041875660E-1,9.946312616E0
9.770262100E-2,9.939486504E0,-2.150549293E-1,2.874378264E-1,9.945967076E0
1.001468400E-1,9.939486504E0,-2.222333997E-1,2.946162820E-1,9.946334923E0
1.025918400E-1,9.937093735E0,-1.959123611E-1,2.802593410E-1,9.942975352E0
1.050351730E-1,9.937093735E0,-2.126621157E-1,3.233301640E-1,9.944626663E0
1.074793920E-1,9.934700966E0,-2.270190418E-1,2.994019389E-1,9.941803782E0
1.099235590E-1,9.953843117E0,-2.222333997E-1,2.826521695E-1,9.960334971E0
1.123677770E-1,9.934700966E0,-2.150549293E-1,3.113660514E-1,9.941905286E0
1.148127250E-1,9.944272041E0,-2.174477577E-1,3.137588799E-1,9.951596585E0
1.172560590E-1,9.939486504E0,-2.054836452E-1,2.946162820E-1,9.945974776E0
1.197002770E-1,9.937093735E0,-2.150549293E-1,2.850449979E-1,9.943506985E0
1.221452770E-1,9.927521706E0,-2.174477577E-1,3.017947674E-1,9.934487950E0
1.245886110E-1,9.939486504E0,-2.054836452E-1,3.089732230E-1,9.946410405E0
1.270328300E-1,9.932307243E0,-2.054836452E-1,2.970091105E-1,9.938871421E0
1.294770480E-1,9.934700966E0,-2.006980032E-1,3.017947674E-1,9.941309926E0
1.319212150E-1,9.953843117E0,-2.054836452E-1,3.041875660E-1,9.960609740E0
1.343661630E-1,9.937093735E0,-2.126621157E-1,2.970091105E-1,9.943805684E0
1.368094960E-1,9.939486504E0,-2.078764737E-1,3.257229924E-1,9.946994524E0
1.392537670E-1,9.951450348E0,-2.030908167E-1,2.874378264E-1,9.957671937E0
1.416987150E-1,9.932307243E0,-2.198405862E-1,3.161516786E-1,9.939769059E0
1.441420480E-1,9.939486504E0,-1.959123611E-1,2.802593410E-1,9.945366705E0
1.465862670E-1,9.917950630E0,-2.054836452E-1,3.113660514E-1,9.924964335E0
1.490304860E-1,9.925128937E0,-1.959123611E-1,2.874378264E-1,9.931222813E0
1.514746520E-1,9.939486504E0,-2.102692872E-1,2.970091105E-1,9.946145964E0
1.539196000E-1,9.944272041E0,-2.102692872E-1,3.161516786E-1,9.951518049E0
1.563629340E-1,9.941879272E0,-1.911267042E-1,2.994019389E-1,9.948222676E0
1.588072050E-1,9.932307243E0,-2.078764737E-1,2.850449979E-1,9.938570846E0
1.612521520E-1,9.961021423E0,-2.198405862E-1,2.850449979E-1,9.967523681E0
1.636954860E-1,9.941879272E0,-1.959123611E-1,3.041875660E-1,9.948460946E0
1.661397050E-1,9.941879272E0,-2.294118702E-1,3.041875660E-1,9.949177019E0
1.685839230E-1,9.925128937E0,-2.054836452E-1,2.970091105E-1,9.931697858E0
1.710280900E-1,9.934700966E0,-2.078764737E-1,3.041875660E-1,9.941530364E0
1.734730900E-1,9.934700966E0,-2.222333997E-1,3.209373355E-1,9.942367512E0
1.759164230E-1,9.925128937E0,-2.030908167E-1,3.041875660E-1,9.931865906E0
1.783606420E-1,9.951450348E0,-2.078764737E-1,2.970091105E-1,9.958051570E0
1.808055900E-1,9.927521706E0,-1.983051747E-1,3.017947674E-1,9.934087388E0
1.832489230E-1,9.929914474E0,-1.935195327E-1,2.946162820E-1,9.936168780E0
1.856931940E-1,9.961021423E0,-2.102692872E-1,3.041875660E-1,9.967882977E0
1.881373610E-1,9.929914474E0,-2.150549293E-1,3.065803945E-1,9.936973464E0
1.905815270E-1,9.949057579E0,-2.150549293E-1,3.161516786E-1,9.956402323E0
1.930265270E-1,9.946664810E0,-2.126621157E-1,3.113660514E-1,9.953809062E0
1.954698610E-1,9.941879272E0,-2.126621157E-1,2.802593410E-1,9.948102027E0
1.979140800E-1,9.944272041E0,-2.150549293E-1,3.065803945E-1,9.951320847E0
2.003590800E-1,9.965806961E0,-2.030908167E-1,2.898306549E-1,9.972088852E0
2.028024130E-1,9.953843117E0,-2.270190418E-1,2.754737139E-1,9.960241774E0
2.052466320E-1,9.951450348E0,-2.078764737E-1,2.802593410E-1,9.957566066E0
2.076907980E-1,9.944272041E0,-2.126621157E-1,3.089732230E-1,9.951343430E0
2.101349650E-1,9.939486504E0,-2.078764737E-1,2.946162820E-1,9.946024499E0
2.125799650E-1,9.939486504E0,-2.174477577E-1,2.994019389E-1,9.946372052E0
2.150232980E-1,9.929914474E0,-2.030908167E-1,3.137588799E-1,9.936945808E0
2.174675170E-1,9.934700966E0,-2.054836452E-1,2.802593410E-1,9.940777239E0
2.199125170E-1,9.949057579E0,-2.246262282E-1,3.137588799E-1,9.956537967E0
2.223558500E-1,9.956235886E0,-2.006980032E-1,3.113660514E-1,9.963125088E0
2.248000690E-1,9.932307243E0,-2.126621157E-1,3.041875660E-1,9.939239530E0
2.272442360E-1,9.941879272E0,-2.126621157E-1,3.113660514E-1,9.949026961E0
2.296884550E-1,9.929914474E0,-2.270190418E-1,3.065803945E-1,9.937239589E0
2.321334020E-1,9.941879272E0,-2.006980032E-1,2.994019389E-1,9.948411163E0
2.345767360E-1,9.939486504E0,-1.935195327E-1,3.161516786E-1,9.946396013E0
2.370209550E-1,9.934700966E0,-2.270190418E-1,3.017947674E-1,9.941876131E0
2.394659550E-1,9.963414192E0,-2.222333997E-1,3.089732230E-1,9.970680744E0
2.419092880E-1,9.949057579E0,-1.959123611E-1,3.065803945E-1,9.955707906E0
2.443535070E-1,9.934700966E0,-2.078764737E-1,3.185445070E-1,9.941980010E0
2.467977250E-1,9.956235886E0,-1.911267042E-1,2.970091105E-1,9.962498524E0
2.492418920E-1,9.939486504E0,-2.174477577E-1,3.089732230E-1,9.946664764E0
2.516868400E-1,9.932307243E0,-2.270190418E-1,3.185445070E-1,9.940006812E0
2.541301730E-1,9.920343399E0,-2.222333997E-1,3.257229924E-1,9.928176887E0
2.565744440E-1,9.939486504E0,-2.054836452E-1,2.946162820E-1,9.945974776E0
2.590193920E-1,9.953843117E0,-2.102692872E-1,2.994019389E-1,9.960564617E0
2.614627250E-1,9.949057579E0,-2.102692872E-1,2.946162820E-1,9.955639539E0
2.639069440E-1,9.934700966E0,-2.198405862E-1,3.113660514E-1,9.942009957E0
2.663511630E-1,9.934700966E0,-2.150549293E-1,2.994019389E-1,9.941537780E0
2.687953300E-1,9.944272041E0,-2.126621157E-1,2.994019389E-1,9.951050855E0
2.712402770E-1,9.946664810E0,-2.198405862E-1,3.161516786E-1,9.954115863E0
2.736836630E-1,9.958628654E0,-2.318046987E-1,3.089732230E-1,9.966116724E0
2.761278820E-1,9.937093735E0,-2.389831543E-1,3.161516786E-1,9.944993551E0
2.785728300E-1,9.913165092E0,-2.126621157E-1,3.113660514E-1,9.920333469E0
