"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.301366100E-2,-9.792626381E0,-1.695913076E-1,-2.584248483E-1,9.797503562E0
2.550683800E-2,-9.806983948E0,-1.839482337E-1,-2.512463629E-1,9.811926204E0
2.800001500E-2,-9.821340561E0,-1.576271951E-1,-2.560320199E-1,9.825941641E0
3.049319200E-2,-9.811769485E0,-1.743769497E-1,-2.632105052E-1,9.816848146E0
3.298636900E-2,-9.821340561E0,-1.743769497E-1,-2.608176768E-1,9.826350472E0
3.547959800E-2,-9.816555023E0,-1.600200087E-1,-2.584248483E-1,9.821259712E0
3.797277500E-2,-9.818947792E0,-1.767697781E-1,-2.656033039E-1,9.824129906E0
4.046595200E-2,-9.799804688E0,-1.791625917E-1,-2.584248483E-1,9.804848523E0
4.295918100E-2,-9.792626381E0,-1.791625917E-1,-2.584248483E-1,9.797673911E0
4.545235800E-2,-9.811769485E0,-1.552343667E-1,-2.679961324E-1,9.816656257E0
4.794553600E-2,-9.821340561E0,-1.863410622E-1,-2.416750938E-1,9.826080615E0
5.043871300E-2,-9.792626381E0,-1.815554202E-1,-2.584248483E-1,9.797717959E0
5.293189000E-2,-9.799804688E0,-1.863410622E-1,-2.632105052E-1,9.805109621E0
5.542506700E-2,-9.816555023E0,-1.695913076E-1,-2.632105052E-1,9.821547409E0
5.791824400E-2,-9.814162254E0,-1.887338907E-1,-2.584248483E-1,9.819378017E0
6.041142100E-2,-9.818947792E0,-1.624128371E-1,-2.679961324E-1,9.823947048E0
6.290459800E-2,-9.792626381E0,-1.791625917E-1,-2.775674164E-1,9.798197505E0
6.539777500E-2,-9.811769485E0,-1.863410622E-1,-2.799602449E-1,9.817531317E0
6.789095200E-2,-9.818947792E0,-1.576271951E-1,-2.656033039E-1,9.823804110E0
7.038412900E-2,-9.833304405E0,-1.671984792E-1,-2.679961324E-1,9.838376532E0
7.287730600E-2,-9.816555023E0,-1.671984792E-1,-2.727817893E-1,9.821767548E0
7.537048300E-2,-9.773484230E0,-1.600200087E-1,-2.416750938E-1,9.777781305E0
7.786366100E-2,-9.811769485E0,-1.576271951E-1,-2.488535494E-1,9.816190445E0
8.035683800E-2,-9.806983948E0,-1.695913076E-1,-2.679961324E-1,9.812110746E0
8.285001500E-2,-9.814162254E0,-1.719841212E-1,-2.656033039E-1,9.819261907E0
8.534319200E-2,-9.795019150E0,-1.695913076E-1,-2.560320199E-1,9.799832333E0
8.783636900E-2,-9.804591179E0,-1.743769497E-1,-2.488535494E-1,9.809298833E0
9.032954600E-2,-9.814162254E0,-1.648056656E-1,-2.703889608E-1,9.819269415E0
9.282272300E-2,-9.811769485E0,-1.480558962E-1,-2.392822653E-1,9.815803431E0
9.531590000E-2,-9.806983948E0,-1.767697781E-1,-2.608176768E-1,9.812044006E0
9.780907700E-2,-9.804591179E0,-1.648056656E-1,-2.416750938E-1,9.808953866E0
1.003022540E-1,-9.816555023E0,-1.600200087E-1,-2.584248483E-1,9.821259712E0
1.027954310E-1,-9.802198410E0,-1.648056656E-1,-2.751746178E-1,9.807444909E0
1.052886080E-1,-9.818947792E0,-1.624128371E-1,-2.656033039E-1,9.823882063E0
1.077817860E-1,-9.802198410E0,-1.887338907E-1,-2.727817893E-1,9.807809340E0
1.102749630E-1,-9.811769485E0,-1.648056656E-1,-2.536391914E-1,9.816430827E0
1.127681400E-1,-9.806983948E0,-1.576271951E-1,-2.488535494E-1,9.811407064E0
1.152613170E-1,-9.823733330E0,-1.624128371E-1,-2.751746178E-1,9.828928504E0
1.177544940E-1,-9.795019150E0,-1.743769497E-1,-2.656033039E-1,9.800171049E0
1.202476710E-1,-9.818947792E0,-1.671984792E-1,-2.799602449E-1,9.824360988E0
1.227408480E-1,-9.823733330E0,-1.600200087E-1,-2.440679073E-1,9.828067566E0
1.252340250E-1,-9.826126099E0,-1.671984792E-1,-2.560320199E-1,9.830883065E0
1.277272020E-1,-9.809376717E0,-1.719841212E-1,-2.560320199E-1,9.814224498E0
1.302203790E-1,-9.790233612E0,-1.671984792E-1,-2.679961324E-1,9.795328041E0
1.326988170E-1,-9.814162254E0,-1.719841212E-1,-2.632105052E-1,9.819197475E0
1.351438170E-1,-9.816555023E0,-1.815554202E-1,-2.560320199E-1,9.821571528E0
1.375871500E-1,-9.818947792E0,-1.911267042E-1,-2.727817893E-1,9.824595415E0
1.400313690E-1,-9.814162254E0,-1.624128371E-1,-2.536391914E-1,9.818782589E0
1.424764210E-1,-9.802198410E0,-1.839482337E-1,-2.608176768E-1,9.807392950E0
1.449197540E-1,-9.818947792E0,-1.743769497E-1,-2.775674164E-1,9.824417883E0
1.473639210E-1,-9.804591179E0,-1.576271951E-1,-2.632105052E-1,9.809390108E0
1.498081400E-1,-9.811769485E0,-1.767697781E-1,-2.727817893E-1,9.817152229E0
1.522523580E-1,-9.818947792E0,-1.839482337E-1,-2.847459018E-1,9.824797857E0
1.546973580E-1,-9.802198410E0,-1.719841212E-1,-2.632105052E-1,9.807239774E0
1.571407440E-1,-9.835697174E0,-1.743769497E-1,-2.679961324E-1,9.840892650E0
1.595849110E-1,-9.818947792E0,-1.695913076E-1,-2.775674164E-1,9.824334106E0
1.620299630E-1,-9.811769485E0,-1.719841212E-1,-2.751746178E-1,9.817134004E0
1.644732960E-1,-9.809376717E0,-1.887338907E-1,-2.656033039E-1,9.814786659E0
1.669175150E-1,-9.809376717E0,-1.767697781E-1,-2.656033039E-1,9.814563884E0
1.693616810E-1,-9.811769485E0,-1.648056656E-1,-2.584248483E-1,9.816555646E0
1.718059000E-1,-9.804591179E0,-1.695913076E-1,-2.679961324E-1,9.809719228E0
1.742509520E-1,-9.804591179E0,-1.695913076E-1,-2.727817893E-1,9.809851136E0
1.766942860E-1,-9.842875481E0,-1.719841212E-1,-2.679961324E-1,9.848025091E0
1.791385040E-1,-9.802198410E0,-1.671984792E-1,-2.679961324E-1,9.807286624E0
1.815835040E-1,-9.804591179E0,-1.576271951E-1,-2.656033039E-1,9.809454604E0
1.840268900E-1,-9.811769485E0,-1.743769497E-1,-2.847459018E-1,9.817449159E0
1.864710560E-1,-9.795019150E0,-1.695913076E-1,-2.679961324E-1,9.800152207E0
1.889152750E-1,-9.790233612E0,-1.528415531E-1,-2.656033039E-1,9.795028322E0
1.913594420E-1,-9.806983948E0,-1.624128371E-1,-2.560320199E-1,9.811669811E0
1.938044940E-1,-9.809376717E0,-1.624128371E-1,-2.584248483E-1,9.814124154E0
1.962478270E-1,-9.802198410E0,-1.767697781E-1,-2.656033039E-1,9.807389374E0
1.986920460E-1,-9.814162254E0,-1.767697781E-1,-2.679961324E-1,9.819411909E0
2.011370980E-1,-9.816555023E0,-1.600200087E-1,-2.632105052E-1,9.821386801E0
2.035804310E-1,-9.802198410E0,-1.767697781E-1,-2.775674164E-1,9.807720678E0
2.060246500E-1,-9.816555023E0,-1.624128371E-1,-2.967100143E-1,9.822380938E0
2.084688170E-1,-9.811769485E0,-1.695913076E-1,-2.775674164E-1,9.817159738E0
2.109130360E-1,-9.811769485E0,-1.767697781E-1,-2.775674164E-1,9.817286370E0
2.133580880E-1,-9.802198410E0,-1.863410622E-1,-2.632105052E-1,9.807502048E0
2.158014210E-1,-9.818947792E0,-1.815554202E-1,-2.703889608E-1,9.824347729E0
2.182455880E-1,-9.811769485E0,-1.767697781E-1,-2.775674164E-1,9.817286370E0
2.206906400E-1,-9.792626381E0,-1.863410622E-1,-2.608176768E-1,9.797871212E0
2.231340250E-1,-9.804591179E0,-1.719841212E-1,-2.679961324E-1,9.809760886E0
2.255781920E-1,-9.809376717E0,-1.552343667E-1,-2.799602449E-1,9.814598668E0
2.280224110E-1,-9.806983948E0,-1.743769497E-1,-2.775674164E-1,9.812460708E0
2.304665770E-1,-9.814162254E0,-1.671984792E-1,-2.751746178E-1,9.819442813E0
2.329116290E-1,-9.814162254E0,-1.624128371E-1,-2.751746178E-1,9.819362492E0
2.353549630E-1,-9.804591179E0,-1.767697781E-1,-2.703889608E-1,9.809911617E0
2.377991810E-1,-9.816555023E0,-1.695913076E-1,-2.847459018E-1,9.822148134E0
2.402442330E-1,-9.802198410E0,-1.743769497E-1,-2.847459018E-1,9.807883626E0
2.426875670E-1,-9.806983948E0,-1.695913076E-1,-2.656033039E-1,9.812045683E0
2.451317330E-1,-9.814162254E0,-1.863410622E-1,-2.775674164E-1,9.819854755E0
2.475759520E-1,-9.818947792E0,-1.719841212E-1,-2.943171859E-1,9.824863199E0
2.500201710E-1,-9.816555023E0,-1.767697781E-1,-2.823530734E-1,9.822205625E0
2.524651710E-1,-9.816555023E0,-1.863410622E-1,-2.703889608E-1,9.822045902E0
2.549085560E-1,-9.814162254E0,-1.600200087E-1,-2.895315289E-1,9.819736028E0
2.573527230E-1,-9.804591179E0,-1.695913076E-1,-2.703889608E-1,9.809784890E0
2.597977750E-1,-9.795019150E0,-1.504487246E-1,-2.895315289E-1,9.800452207E0
2.622411080E-1,-9.814162254E0,-1.671984792E-1,-2.823530734E-1,9.819646600E0
2.646853270E-1,-9.802198410E0,-1.815554202E-1,-2.727817893E-1,9.807673829E0
2.671294940E-1,-9.823733330E0,-1.791625917E-1,-2.967100143E-1,9.829846011E0
2.695737130E-1,-9.802198410E0,-1.839482337E-1,-2.751746178E-1,9.807785259E0
2.720187650E-1,-9.802198410E0,-1.911267042E-1,-2.751746178E-1,9.807922520E0
2.744620980E-1,-9.816555023E0,-1.695913076E-1,-3.014956415E-1,9.822647981E0
2.769063170E-1,-9.821340561E0,-1.719841212E-1,-2.871387303E-1,9.827042159E0
2.793513170E-1,-9.816555023E0,-1.671984792E-1,-2.919243574E-1,9.822317837E0
2.817947020E-1,-9.821340561E0,-1.743769497E-1,-2.943171859E-1,9.827296695E0
2.842388690E-1,-9.802198410E0,-1.671984792E-1,-2.919243574E-1,9.807969659E0
2.866830880E-1,-9.818947792E0,-1.719841212E-1,-2.656033039E-1,9.824044961E0
2.891272540E-1,-9.814162254E0,-1.624128371E-1,-2.751746178E-1,9.819362492E0
2.915723060E-1,-9.816555023E0,-1.624128371E-1,-2.871387303E-1,9.822096472E0
2.940156400E-1,-9.826126099E0,-1.791625917E-1,-3.062812984E-1,9.832530782E0
2.964598580E-1,-9.816555023E0,-1.600200087E-1,-2.823530734E-1,9.821918457E0
2.989049110E-1,-9.806983948E0,-1.648056656E-1,-3.038884699E-1,9.813075117E0
3.013482440E-1,-9.790233612E0,-1.600200087E-1,-2.727817893E-1,9.795340244E0
3.037924630E-1,-9.811769485E0,-1.624128371E-1,-2.943171859E-1,9.817526214E0
3.062366290E-1,-9.795019150E0,-1.719841212E-1,-2.823530734E-1,9.800597020E0
3.086808480E-1,-9.816555023E0,-1.648056656E-1,-2.679961324E-1,9.821595357E0
3.111259000E-1,-9.816555023E0,-1.743769497E-1,-2.632105052E-1,9.821631209E0
3.135692330E-1,-9.806983948E0,-1.743769497E-1,-2.751746178E-1,9.812393314E0
3.160134520E-1,-9.821340561E0,-1.624128371E-1,-2.679961324E-1,9.826338599E0
3.184584520E-1,-9.795019150E0,-1.624128371E-1,-2.871387303E-1,9.800572775E0
3.209018380E-1,-9.816555023E0,-1.648056656E-1,-2.632105052E-1,9.821465940E0
3.233460040E-1,-9.809376717E0,-1.648056656E-1,-2.656033039E-1,9.814355689E0
3.257902230E-1,-9.814162254E0,-1.695913076E-1,-2.656033039E-1,9.819220289E0
3.282343900E-1,-9.780662537E0,-1.815554202E-1,-2.703889608E-1,9.786083599E0
3.306794420E-1,-9.826126099E0,-1.719841212E-1,-2.751746178E-1,9.831482783E0
3.331227750E-1,-9.795019150E0,-1.743769497E-1,-2.727817893E-1,9.800368226E0
3.355669940E-1,-9.806983948E0,-1.648056656E-1,-2.871387303E-1,9.812570698E0
3.380120460E-1,-9.799804688E0,-1.624128371E-1,-2.775674164E-1,9.805079985E0
