"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.636463800E-2,1.854437590E-2,9.584152222E0,-4.091726840E-1,9.592900499E0
2.880833600E-2,-7.776673418E-3,9.562616348E0,-4.115654826E-1,9.571472094E0
3.125297100E-2,-2.931207791E-2,9.560223579E0,-4.450650215E-1,9.570622600E0
3.369755400E-2,-4.366901144E-2,9.555438042E0,-4.091726840E-1,9.564294299E0
3.614213800E-2,-5.982056609E-4,9.586544991E0,-4.426721931E-1,9.596760072E0
3.858750200E-2,1.136590727E-2,9.600901604E0,-4.354937077E-1,9.610780174E0
4.103120000E-2,5.204389244E-2,9.572187424E0,-4.307080805E-1,9.582013885E0
4.347583600E-2,4.965107143E-2,9.543474197E0,-4.187439680E-1,9.552785536E0
4.592120000E-2,-5.383851007E-3,9.557830811E0,-4.139583111E-1,9.566792580E0
4.836495000E-2,-4.127619043E-2,9.586544991E0,-4.402793646E-1,9.596738743E0
5.080958600E-2,-3.649054468E-2,9.591330528E0,-4.474578202E-1,9.601831667E0
5.325416900E-2,-1.734796353E-2,9.584152222E0,-4.091726840E-1,9.592898261E0
5.569864800E-2,3.050848842E-2,9.588937759E0,-4.378865361E-1,9.598979255E0
5.814411700E-2,5.682953820E-2,9.567401886E0,-4.163511395E-1,9.576625539E0
6.058781500E-2,2.333002165E-2,9.569794655E0,-4.115654826E-1,9.578669019E0
6.303245000E-2,-1.016949583E-2,9.572187424E0,-4.402793646E-1,9.582312947E0
6.547781500E-2,-3.409772366E-2,9.576973915E0,-4.474578202E-1,9.587481970E0
6.792156500E-2,-2.452643216E-2,9.588937759E0,-4.402793646E-1,9.599071560E0
7.036614800E-2,-1.734796353E-2,9.557830811E0,-4.450650215E-1,9.568203260E0
7.281073100E-2,1.136590727E-2,9.569794655E0,-4.259224236E-1,9.579274964E0
7.525531500E-2,1.854437590E-2,9.581759453E0,-4.019941986E-1,9.590206329E0
7.770067900E-2,1.854437590E-2,9.588937759E0,-3.924229145E-1,9.596982181E0
8.014442900E-2,-7.776673418E-3,9.598508835E0,-4.043870270E-1,9.607026657E0
8.258906500E-2,-5.982056609E-4,9.579366684E0,-4.091726840E-1,9.588101413E0
8.503442900E-2,6.580262445E-3,9.572187424E0,-4.115654826E-1,9.581033427E0
8.747812700E-2,-5.383851007E-3,9.584152222E0,-4.067798555E-1,9.592782320E0
8.992276300E-2,-5.982056609E-4,9.588937759E0,-4.283152521E-1,9.598498928E0
9.236734600E-2,-2.991028363E-3,9.579366684E0,-4.426721931E-1,9.589589860E0
9.481192900E-2,2.333002165E-2,9.567401886E0,-4.259224236E-1,9.576906236E0
9.725729400E-2,8.973085321E-3,9.557830811E0,-4.283152521E-1,9.567427255E0
9.970104400E-2,-2.691925503E-2,9.562616348E0,-4.307080805E-1,9.572349007E0
1.021456270E-1,-1.734796353E-2,9.584152222E0,-4.043870270E-1,9.592695327E0
1.045910440E-1,6.580262445E-3,9.596116066E0,-4.307080805E-1,9.605779318E0
1.070347420E-1,3.768695518E-2,9.581759453E0,-4.259224236E-1,9.591295243E0
1.094793770E-1,4.965107143E-2,9.581759453E0,-4.163511395E-1,9.590929450E0
1.119239610E-1,3.290131316E-2,9.562616348E0,-4.067798555E-1,9.571320900E0
1.143685440E-1,-1.734796353E-2,9.560223579E0,-4.354937077E-1,9.570153113E0
1.168139080E-1,-1.016949583E-2,9.569794655E0,-4.187439680E-1,9.578957128E0
1.192576060E-1,-1.016949583E-2,9.581759453E0,-4.235295951E-1,9.591120630E0
1.217022420E-1,-5.383851007E-3,9.586544991E0,-4.067798555E-1,9.595172937E0
1.241476060E-1,2.811566554E-2,9.581759453E0,-4.474578202E-1,9.592242866E0
1.265913560E-1,4.247260094E-2,9.574581146E0,-4.211367965E-1,9.583932609E0
1.290359920E-1,3.290131316E-2,9.567401886E0,-4.115654826E-1,9.576306568E0
1.314805750E-1,6.580262445E-3,9.550652504E0,-4.091726840E-1,9.559415716E0
