"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.292105700E-2,1.118644550E-1,-1.017428207E1,-3.230310678E-1,1.018002350E1
2.536475500E-2,9.990034252E-2,-1.017906761E1,-3.589234054E-1,1.018588354E1
2.780933800E-2,1.142572835E-1,-1.018863869E1,-3.756731451E-1,1.019620240E1
3.025387000E-2,9.990034252E-2,-1.016710377E1,-3.828516304E-1,1.017479997E1
3.269840100E-2,9.272187948E-2,-1.016949654E1,-3.900300860E-1,1.017739557E1
3.514376600E-2,1.190429255E-1,-1.015992451E1,-3.972085714E-1,1.016838295E1
3.758746300E-2,1.190429255E-1,-1.017667484E1,-3.876372576E-1,1.018475060E1
4.003204700E-2,1.214357466E-1,-1.016231823E1,-3.780659735E-1,1.017007337E1
4.247735900E-2,1.094716340E-1,-1.016231823E1,-3.780659735E-1,1.016993755E1
4.492105700E-2,1.190429255E-1,-1.016710377E1,-3.517449200E-1,1.017388297E1
4.736564100E-2,1.142572835E-1,-1.018624592E1,-3.373879790E-1,1.019247229E1
4.981017200E-2,1.094716340E-1,-1.016231823E1,-3.445664644E-1,1.016874731E1
5.225470300E-2,1.046859920E-1,-1.017428207E1,-3.517449200E-1,1.018089875E1
5.470001600E-2,1.046859920E-1,-1.017906761E1,-3.661018610E-1,1.018618708E1
5.714371300E-2,1.214357466E-1,-1.016710377E1,-3.948157430E-1,1.017549139E1
5.958829700E-2,1.286142170E-1,-1.016949654E1,-3.924229145E-1,1.017787783E1
6.203366100E-2,9.990034252E-2,-1.015992451E1,-3.828516304E-1,1.016762615E1
6.447730700E-2,1.166501045E-1,-1.017906761E1,-3.852444589E-1,1.018702302E1
6.692189100E-2,1.070788130E-1,-1.017188931E1,-4.067798555E-1,1.018058288E1
6.936647400E-2,9.990034252E-2,-1.017906761E1,-4.259224236E-1,1.018846443E1
7.181100500E-2,1.094716340E-1,-1.016710377E1,-3.900300860E-1,1.017517108E1
7.425631800E-2,1.118644550E-1,-1.016949654E1,-3.804588020E-1,1.017722567E1
7.670001600E-2,1.022931710E-1,-1.016949654E1,-3.756731451E-1,1.017694718E1
7.914459900E-2,1.070788130E-1,-1.017667484E1,-4.067798555E-1,1.018536433E1
8.158991100E-2,1.094716340E-1,-1.018385315E1,-3.924229145E-1,1.019199906E1
8.403360900E-2,1.118644550E-1,-1.017906761E1,-3.876372576E-1,1.018706011E1
8.647819300E-2,1.142572835E-1,-1.018385315E1,-3.756731451E-1,1.019142041E1
8.892272400E-2,9.272187948E-2,-1.018863869E1,-3.756731451E-1,1.019598382E1
9.136725500E-2,1.262213886E-1,-1.016949654E1,-3.780659735E-1,1.017730443E1
9.381262000E-2,1.070788130E-1,-1.016710377E1,-3.828516304E-1,1.017487298E1
9.625631800E-2,1.046859920E-1,-1.015753174E1,-3.948157430E-1,1.016574098E1
9.870090100E-2,9.511470050E-2,-1.016471100E1,-3.900300860E-1,1.017263584E1
1.011462130E-1,9.750752151E-2,-1.015274620E1,-4.043870270E-1,1.016126429E1
1.035899110E-1,1.070788130E-1,-1.018146038E1,-3.900300860E-1,1.018949090E1
1.060344950E-1,9.511470050E-2,-1.018385315E1,-3.589234054E-1,1.019062009E1
1.084790260E-1,1.070788130E-1,-1.017428207E1,-3.828516304E-1,1.018204581E1
1.109235570E-1,1.142572835E-1,-1.016710377E1,-3.732803464E-1,1.017459542E1
1.133688700E-1,1.046859920E-1,-1.015035343E1,-3.804588020E-1,1.015802062E1
1.158125680E-1,1.046859920E-1,-1.017428207E1,-3.661018610E-1,1.018140489E1
1.182571510E-1,9.272187948E-2,-1.017906761E1,-3.637090325E-1,1.018598542E1
1.207025160E-1,1.118644550E-1,-1.016710377E1,-3.708875179E-1,1.017448132E1
1.231462130E-1,1.214357466E-1,-1.016231823E1,-3.876372576E-1,1.017043367E1
1.255907970E-1,1.142572835E-1,-1.016471100E1,-3.804588020E-1,1.017247036E1
1.280353280E-1,1.070788130E-1,-1.017428207E1,-3.661018610E-1,1.018142977E1
1.304798590E-1,9.750752151E-2,-1.016949654E1,-3.780659735E-1,1.017698882E1
1.329251720E-1,1.046859920E-1,-1.016710377E1,-3.924229145E-1,1.017521272E1
1.353688700E-1,1.166501045E-1,-1.016471100E1,-3.541377485E-1,1.017154710E1
1.378134530E-1,1.070788130E-1,-1.015753174E1,-3.780659735E-1,1.016512916E1
1.402587660E-1,1.022931710E-1,-1.016471100E1,-3.732803464E-1,1.017207706E1
1.427024630E-1,8.315058798E-2,-1.015035343E1,-3.637090325E-1,1.015720794E1
1.451470470E-1,9.990034252E-2,-1.015513897E1,-3.804588020E-1,1.016275437E1
1.475915780E-1,1.094716340E-1,-1.017428207E1,-3.900300860E-1,1.018234370E1
1.500361610E-1,1.046859920E-1,-1.017906761E1,-3.613162339E-1,1.018601620E1
1.524814740E-1,1.262213886E-1,-1.015274620E1,-3.852444589E-1,1.016083661E1
1.549251720E-1,1.118644550E-1,-1.015513897E1,-3.780659735E-1,1.016278973E1
1.573697550E-1,1.094716340E-1,-1.016471100E1,-3.804588020E-1,1.017241774E1
1.598150680E-1,1.046859920E-1,-1.016231823E1,-3.541377485E-1,1.016902574E1
1.622587660E-1,1.094716340E-1,-1.016710377E1,-3.541377485E-1,1.017385849E1
1.647033490E-1,9.750752151E-2,-1.014317513E1,-3.732803464E-1,1.015050972E1
1.671478800E-1,8.793623000E-2,-1.016471100E1,-3.780659735E-1,1.017211956E1
1.695924110E-1,1.070788130E-1,-1.017667484E1,-3.708875179E-1,1.018399402E1
1.720377760E-1,9.990034252E-2,-1.015753174E1,-3.924229145E-1,1.016560017E1
1.744814220E-1,9.032905847E-2,-1.015992451E1,-3.804588020E-1,1.016744679E1
1.769260050E-1,9.511470050E-2,-1.017428207E1,-3.876372576E-1,1.018210809E1
1.793713700E-1,9.750752151E-2,-1.017667484E1,-3.565305769E-1,1.018338513E1
1.818150680E-1,1.022931710E-1,-1.018146038E1,-3.804588020E-1,1.018907985E1
1.842596510E-1,1.142572835E-1,-1.015992451E1,-3.852444589E-1,1.016786772E1
1.867041820E-1,1.070788130E-1,-1.014556789E1,-3.780659735E-1,1.015317426E1
1.891487130E-1,1.190429255E-1,-1.016231823E1,-3.756731451E-1,1.016995641E1
1.915940260E-1,1.190429255E-1,-1.017188931E1,-3.637090325E-1,1.017908579E1
1.940377240E-1,1.070788130E-1,-1.016710377E1,-3.780659735E-1,1.017469404E1
1.964823070E-1,1.094716340E-1,-1.017188931E1,-3.684946895E-1,1.017915048E1
1.989276200E-1,1.214357466E-1,-1.017906761E1,-3.661018610E-1,1.018637299E1
2.013713180E-1,1.142572835E-1,-1.018385315E1,-3.708875179E-1,1.019124513E1
2.038159010E-1,9.990034252E-2,-1.017906761E1,-3.661018610E-1,1.018613902E1
2.062604840E-1,1.094716340E-1,-1.015274620E1,-3.565305769E-1,1.015959416E1
2.087050160E-1,1.118644550E-1,-1.015992451E1,-3.661018610E-1,1.016713383E1
2.111503280E-1,1.118644550E-1,-1.016231823E1,-3.780659735E-1,1.016996359E1
2.135940260E-1,1.118644550E-1,-1.016231823E1,-3.756731451E-1,1.016987491E1
2.160386090E-1,1.070788130E-1,-1.016710377E1,-3.684946895E-1,1.017434289E1
2.184839220E-1,1.070788130E-1,-1.016471100E1,-3.804588020E-1,1.017239227E1
2.209276200E-1,1.333998591E-1,-1.015992451E1,-3.780659735E-1,1.016783140E1
2.233722030E-1,1.094716340E-1,-1.017667484E1,-3.804588020E-1,1.018437253E1
