"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.975637400E-2,-1.325025558E-1,-1.453639716E-1,9.868598938E0
3.220147900E-2,-1.301097274E-1,-1.238285750E-1,9.885348320E0
3.464491600E-2,-1.372881979E-1,-1.357926875E-1,9.894919395E0
3.708923900E-2,-1.277169138E-1,-1.480558962E-1,9.890133858E0
3.958267600E-2,-1.396810263E-1,-1.357926875E-1,9.870991707E0
4.202621800E-2,-1.396810263E-1,-1.357926875E-1,9.870991707E0
4.442293700E-2,-1.181456149E-1,-1.405783296E-1,9.878170013E0
4.686642600E-2,-1.205384433E-1,-1.310070455E-1,9.890133858E0
4.931080100E-2,-1.301097274E-1,-1.310070455E-1,9.866206169E0
5.175590600E-2,-1.277169138E-1,-1.381855011E-1,9.897313118E0
5.420022900E-2,-1.372881979E-1,-1.142572835E-1,9.897313118E0
5.664366600E-2,-1.420738399E-1,-1.480558962E-1,9.873384476E0
5.908804100E-2,-1.444666684E-1,-1.381855011E-1,9.882955551E0
6.153314500E-2,-1.372881979E-1,-1.286142170E-1,9.887741089E0
6.397741600E-2,-1.444666684E-1,-1.357926875E-1,9.880562782E0
6.642090600E-2,-1.348953694E-1,-1.142572835E-1,9.868598938E0
6.886522900E-2,-1.205384433E-1,-1.310070455E-1,9.878170013E0
7.131033300E-2,-1.205384433E-1,-1.238285750E-1,9.870991707E0
7.375465600E-2,-1.301097274E-1,-1.357926875E-1,9.899705887E0
7.619809300E-2,-1.325025558E-1,-1.453639716E-1,9.880562782E0
7.864246800E-2,-1.325025558E-1,-1.357926875E-1,9.863813400E0
8.108757200E-2,-1.229312643E-1,-1.357926875E-1,9.861420631E0
8.353184300E-2,-1.229312643E-1,-1.381855011E-1,9.897313118E0
8.597533300E-2,-1.492523104E-1,-1.453639716E-1,9.894919395E0
8.841970800E-2,-1.348953694E-1,-1.262213886E-1,9.873384476E0
9.086476000E-2,-1.277169138E-1,-1.238285750E-1,9.887741089E0
9.330908300E-2,-1.277169138E-1,-1.381855011E-1,9.890133858E0
9.575252000E-2,-1.468594968E-1,-1.528415531E-1,9.866206169E0
9.819689500E-2,-1.205384433E-1,-1.262213886E-1,9.856635094E0
1.006419990E-1,-1.277169138E-1,-1.214357466E-1,9.868598938E0
1.030863220E-1,-1.372881979E-1,-1.286142170E-1,9.899705887E0
1.055297600E-1,-1.420738399E-1,-1.310070455E-1,9.875777245E0
1.079741350E-1,-1.325025558E-1,-1.310070455E-1,9.885348320E0
1.104192390E-1,-1.157527938E-1,-1.262213886E-1,9.882955551E0
1.128635100E-1,-1.325025558E-1,-1.504487246E-1,9.899705887E0
1.153069990E-1,-1.301097274E-1,-1.429711580E-1,9.892526627E0
1.177513220E-1,-1.396810263E-1,-1.262213886E-1,9.866206169E0
1.201964260E-1,-1.492523104E-1,-1.600200087E-1,9.868598938E0
1.226407490E-1,-1.468594968E-1,-1.453639716E-1,9.897313118E0
1.250841870E-1,-1.277169138E-1,-1.405783296E-1,9.899705887E0
1.275285620E-1,-1.277169138E-1,-1.214357466E-1,9.856635094E0
1.299736660E-1,-1.301097274E-1,-1.238285750E-1,9.878170013E0
1.324179890E-1,-1.301097274E-1,-1.453639716E-1,9.887741089E0
1.348614260E-1,-1.372881979E-1,-1.480558962E-1,9.899705887E0
1.373058010E-1,-1.301097274E-1,-1.453639716E-1,9.868598938E0
1.397508540E-1,-1.229312643E-1,-1.405783296E-1,9.870991707E0
1.421951760E-1,-1.372881979E-1,-1.480558962E-1,9.892526627E0
1.446386660E-1,-1.277169138E-1,-1.310070455E-1,9.906884193E0
1.470829890E-1,-1.372881979E-1,-1.405783296E-1,9.897313118E0
1.495280930E-1,-1.372881979E-1,-1.357926875E-1,9.870991707E0
1.519724160E-1,-1.396810263E-1,-1.381855011E-1,9.875777245E0
1.544158540E-1,-1.420738399E-1,-1.357926875E-1,9.902098656E0
1.568602290E-1,-1.396810263E-1,-1.429711580E-1,9.885348320E0
1.593053330E-1,-1.277169138E-1,-1.429711580E-1,9.866206169E0
1.617496040E-1,-1.372881979E-1,-1.552343667E-1,9.890133858E0
1.641930930E-1,-1.348953694E-1,-1.453639716E-1,9.909276962E0
1.666374160E-1,-1.277169138E-1,-1.310070455E-1,9.880562782E0
1.690825200E-1,-1.325025558E-1,-1.262213886E-1,9.878170013E0
1.715268430E-1,-1.301097274E-1,-1.310070455E-1,9.861420631E0
1.739702810E-1,-1.229312643E-1,-1.624128371E-1,9.882955551E0
1.764146560E-1,-1.420738399E-1,-1.405783296E-1,9.882955551E0
1.788597600E-1,-1.444666684E-1,-1.453639716E-1,9.856635094E0
1.813040830E-1,-1.277169138E-1,-1.552343667E-1,9.875777245E0
1.837475200E-1,-1.253240854E-1,-1.310070455E-1,9.897313118E0
1.861918950E-1,-1.205384433E-1,-1.357926875E-1,9.887741089E0
1.886369990E-1,-1.205384433E-1,-1.262213886E-1,9.870991707E0
1.910812700E-1,-1.396810263E-1,-1.453639716E-1,9.873384476E0
1.935247600E-1,-1.205384433E-1,-1.262213886E-1,9.882955551E0
1.959690830E-1,-1.253240854E-1,-1.310070455E-1,9.904491425E0
1.984141870E-1,-1.372881979E-1,-1.357926875E-1,9.873384476E0
2.008585100E-1,-1.325025558E-1,-1.552343667E-1,9.897313118E0
2.033019470E-1,-1.444666684E-1,-1.357926875E-1,9.899705887E0
2.057463220E-1,-1.277169138E-1,-1.333998591E-1,9.880562782E0
2.081914260E-1,-1.540379524E-1,-1.429711580E-1,9.882955551E0
2.106356970E-1,-1.133599728E-1,-1.262213886E-1,9.882955551E0
2.130791870E-1,-1.372881979E-1,-1.357926875E-1,9.906884193E0
2.155235620E-1,-1.325025558E-1,-1.429711580E-1,9.890133858E0
2.179686140E-1,-1.277169138E-1,-1.453639716E-1,9.859027863E0
2.204129370E-1,-1.420738399E-1,-1.357926875E-1,9.885348320E0
2.228564260E-1,-1.253240854E-1,-1.480558962E-1,9.887741089E0
2.253007490E-1,-1.229312643E-1,-1.310070455E-1,9.873384476E0
2.277458540E-1,-1.348953694E-1,-1.214357466E-1,9.890133858E0
2.301901760E-1,-1.205384433E-1,-1.381855011E-1,9.885348320E0
2.326336140E-1,-1.492523104E-1,-1.429711580E-1,9.878170013E0
2.350779890E-1,-1.468594968E-1,-1.429711580E-1,9.899705887E0
2.375230930E-1,-1.564307809E-1,-1.286142170E-1,9.892526627E0
2.399673640E-1,-1.396810263E-1,-1.480558962E-1,9.890133858E0
2.424108540E-1,-1.396810263E-1,-1.286142170E-1,9.892526627E0
2.448551760E-1,-1.157527938E-1,-1.429711580E-1,9.878170013E0
2.473002810E-1,-1.253240854E-1,-1.310070455E-1,9.870991707E0
2.497446040E-1,-1.516451389E-1,-1.381855011E-1,9.885348320E0
2.521880410E-1,-1.492523104E-1,-1.286142170E-1,9.875777245E0
2.546324160E-1,-1.229312643E-1,-1.480558962E-1,9.899705887E0
2.570775200E-1,-1.372881979E-1,-1.381855011E-1,9.885348320E0
2.595218430E-1,-1.109671518E-1,-1.310070455E-1,9.873384476E0
2.619652810E-1,-1.229312643E-1,-1.405783296E-1,9.892526627E0
2.644096560E-1,-1.229312643E-1,-1.310070455E-1,9.873384476E0
2.668547600E-1,-1.205384433E-1,-1.333998591E-1,9.885348320E0
