"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.337380380E-1,1.527118147E-4,6.108472589E-4,-2.290677279E-3
1.361822570E-1,2.596100792E-3,-6.108472589E-4,1.527118147E-4
1.386257980E-1,2.596100792E-3,6.108472589E-4,1.527118147E-4
1.410701730E-1,-1.068982761E-3,-6.108472589E-4,-1.068982761E-3
1.435152780E-1,-1.068982761E-3,-6.108472589E-4,-2.290677279E-3
1.459595480E-1,-1.068982761E-3,-6.108472589E-4,-7.177455351E-3
1.484030380E-1,1.527118147E-4,6.108472589E-4,-2.290677279E-3
1.508474130E-1,1.527118147E-4,1.832541777E-3,-1.068982761E-3
1.532925170E-1,1.527118147E-4,-6.108472589E-4,1.374406274E-3
1.557367880E-1,1.527118147E-4,-6.108472589E-4,1.374406274E-3
1.581803300E-1,1.527118147E-4,6.108472589E-4,-3.512371797E-3
1.606247050E-1,1.374406274E-3,-6.108472589E-4,1.527118147E-4
1.630698090E-1,-1.068982761E-3,6.108472589E-4,-3.512371797E-3
1.655140800E-1,-1.068982761E-3,6.108472589E-4,-2.290677279E-3
1.679575690E-1,1.527118147E-4,6.108472589E-4,1.527118147E-4
1.704019440E-1,1.374406274E-3,-6.108472589E-4,2.596100792E-3
1.728470480E-1,1.527118147E-4,-6.108472589E-4,1.374406274E-3
1.752913190E-1,2.596100792E-3,-6.108472589E-4,1.374406274E-3
1.777348610E-1,1.527118147E-4,-3.054236295E-3,1.527118147E-4
1.801791320E-1,1.527118147E-4,-6.108472589E-4,-3.512371797E-3
1.826242880E-1,-1.068982761E-3,-6.108472589E-4,-1.068982761E-3
1.850685590E-1,1.374406274E-3,-1.832541777E-3,1.527118147E-4
1.875121000E-1,1.374406274E-3,6.108472589E-4,1.374406274E-3
1.899564750E-1,-1.068982761E-3,1.832541777E-3,-1.068982761E-3
1.924015800E-1,1.527118147E-4,-6.108472589E-4,-2.290677279E-3
1.948458500E-1,-1.068982761E-3,6.108472589E-4,-1.068982761E-3
1.972893400E-1,-1.068982761E-3,6.108472589E-4,-4.734066315E-3
1.997337150E-1,1.374406274E-3,-6.108472589E-4,1.374406274E-3
2.021788190E-1,1.374406274E-3,6.108472589E-4,-2.290677279E-3
2.046230900E-1,1.527118147E-4,-6.108472589E-4,1.527118147E-4
2.070666320E-1,1.527118147E-4,1.832541777E-3,2.596100792E-3
2.095110070E-1,1.527118147E-4,-6.108472589E-4,-1.068982761E-3
2.119561110E-1,-2.290677279E-3,-6.108472589E-4,-5.955760833E-3
2.144003300E-1,1.527118147E-4,6.108472589E-4,1.527118147E-4
2.168438710E-1,-1.068982761E-3,6.108472589E-4,1.527118147E-4
2.192882460E-1,-1.068982761E-3,6.108472589E-4,-4.734066315E-3
2.217333500E-1,-1.068982761E-3,-6.108472589E-4,-2.290677279E-3
