"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.807569900E-2,-1.611865163E0,3.407379389E0,8.786444664E0
3.052007400E-2,-1.580758452E0,3.381058455E0,8.817551613E0
3.296371900E-2,-1.540080428E0,3.337987661E0,8.865407944E0
3.540809400E-2,-1.463510156E0,3.297309637E0,8.882157326E0
3.785340700E-2,-1.398903966E0,3.259024382E0,8.941978455E0
4.029778200E-2,-1.310369492E0,3.184547901E0,8.975478172E0
4.274137600E-2,-1.190728426E0,3.115155935E0,8.989834785E0
4.518585500E-2,-1.104287624E0,3.050549746E0,9.011369705E0
4.763111500E-2,-9.942178130E-1,2.971586704E0,9.040383339E0
5.007549000E-2,-9.056833982E-1,2.856731176E0,9.097810745E0
5.251908400E-2,-8.458628058E-1,2.806481838E0,9.176774025E0
5.496356300E-2,-7.860422134E-1,2.734697104E0,9.272486687E0
5.740882400E-2,-7.022934556E-1,2.682054996E0,9.327521324E0
5.985314600E-2,-6.592226624E-1,2.638685226E0,9.375378609E0
6.229679200E-2,-6.257231236E-1,2.598007202E0,9.437591553E0
6.474127100E-2,-6.134598851E-1,2.574079037E0,9.480662346E0
6.718653200E-2,-6.086742878E-1,2.566900492E0,9.562018394E0
6.963090700E-2,-6.568298340E-1,2.569293261E0,9.634101868E0
7.207450100E-2,-6.975077987E-1,2.612364054E0,9.696315765E0
7.451898000E-2,-7.549355626E-1,2.655434847E0,9.758528709E0
7.696424000E-2,-8.362914920E-1,2.729911566E0,9.839884758E0
7.940861500E-2,-9.080761671E-1,2.792124987E0,9.949954987E0
8.185220900E-2,-1.008574724E0,2.868695259E0,1.004088211E1
8.429668800E-2,-1.109073281E0,2.899801970E0,1.010309505E1
8.674189600E-2,-1.193121195E0,2.952444077E0,1.019192886E1
8.918627100E-2,-1.255334616E0,2.952444077E0,1.025892830E1
9.162991700E-2,-1.291226864E0,2.957229614E0,1.029003429E1
9.407439600E-2,-1.300798178E0,3.017050266E0,1.032831955E1
9.651960500E-2,-1.291226864E0,3.012264490E0,1.037378311E1
9.896398000E-2,-1.269691467E0,3.036192894E0,1.040249729E1
1.014076260E-1,-1.281655669E0,3.036192894E0,1.038814068E1
1.038521050E-1,-1.307976723E0,3.021835804E0,1.036899757E1
1.062973130E-1,-1.351047516E0,3.017050266E0,1.030199909E1
1.087416880E-1,-1.372582912E0,2.983550787E0,1.024696350E1
1.111853340E-1,-1.355833173E0,2.935694218E0,1.017757225E1
1.136298130E-1,-1.267298698E0,2.847159863E0,1.010070229E1
1.160750210E-1,-1.154536963E0,2.749054193E0,1.003848934E1
1.185193960E-1,-9.798609018E-1,2.586043119E0,9.957133293E0
1.209630420E-1,-7.166503668E-1,2.435295343E0,9.916455269E0
1.234075210E-1,-5.632106066E-1,2.370688915E0,9.868598938E0
1.258527300E-1,-4.196412563E-1,2.231905222E0,9.830313683E0
1.282971050E-1,-3.574278951E-1,2.229512453E0,9.794421196E0
1.307407510E-1,-4.076771438E-1,2.260619164E0,9.772886276E0
1.331852300E-1,-4.938187599E-1,2.279761791E0,9.720243454E0
1.356304380E-1,-5.967101455E-1,2.301297188E0,9.669994354E0
1.380748130E-1,-6.281159520E-1,2.313261271E0,9.595816612E0
1.405184590E-1,-6.062814593E-1,2.315654039E0,9.480662346E0
1.429629380E-1,-1.325025558E-1,1.709970832E0,8.752944946E0
1.454081460E-1,-6.311069429E-2,1.769791484E0,9.045168877E0
1.478525210E-1,-1.085743308E-1,1.930110574E0,9.231808662E0
1.502961670E-1,-2.880360186E-1,2.167299032E0,9.358628273E0
1.527406460E-1,-5.416752100E-1,2.368296146E0,9.377771378E0
1.551858550E-1,-8.482556343E-1,2.600399971E0,9.428020477E0
1.576302300E-1,-1.111466169E0,2.796910524E0,9.394520760E0
1.600738760E-1,-1.324726462E0,3.057728291E0,9.492626190E0
1.625183550E-1,-1.403689623E0,3.223132133E0,9.564411163E0
1.649635630E-1,-1.401296735E0,3.357130051E0,9.588339806E0
1.674079380E-1,-1.303191066E0,3.412165165E0,9.540482521E0
1.698515840E-1,-1.133001566E0,3.407379389E0,9.463912964E0
1.722960630E-1,-9.391828775E-1,3.340380430E0,9.337093353E0
1.747412710E-1,-8.458628058E-1,3.256631613E0,9.186345100E0
1.771856460E-1,-7.573283911E-1,3.103191853E0,9.109774590E0
1.796292920E-1,-7.357929349E-1,2.981158018E0,9.040383339E0
1.820737710E-1,-7.549355626E-1,2.806481838E0,8.975478172E0
1.845189800E-1,-7.692924738E-1,2.684448004E0,8.915657043E0
1.869633550E-1,-7.190431952E-1,2.562114954E0,8.894122124E0
1.894070010E-1,-6.783652306E-1,2.499901533E0,8.882157326E0
1.918514800E-1,-6.376872063E-1,2.435295343E0,8.918049812E0
1.942966880E-1,-5.799604058E-1,2.420938253E0,8.946763992E0
1.967410630E-1,-5.584250093E-1,2.399402857E0,9.020941734E0
1.991847090E-1,-5.392823815E-1,2.423331022E0,9.073882103E0
2.016291880E-1,-5.273182988E-1,2.382653236E0,9.124132156E0
2.040743960E-1,-5.297111273E-1,2.401795626E0,9.176774025E0
2.065187710E-1,-4.986044168E-1,2.404188633E0,9.207880974E0
2.089624170E-1,-4.651049078E-1,2.401795626E0,9.238986969E0
2.114068960E-1,-4.818546474E-1,2.394617319E0,9.234201431E0
2.138521050E-1,-5.033900738E-1,2.389831543E0,9.262915611E0
2.162964800E-1,-5.009972453E-1,2.363510609E0,9.272486687E0
2.187401260E-1,-5.153541565E-1,2.356332064E0,9.277272224E0
2.211846050E-1,-5.344967842E-1,2.318047047E0,9.327521324E0
2.236298130E-1,-5.153541565E-1,2.263011932E0,9.372985840E0
2.260741880E-1,-4.722833633E-1,2.193620205E0,9.413662910E0
2.285178340E-1,-4.459623098E-1,2.145763636E0,9.480662346E0
2.309623130E-1,-3.885345757E-1,2.028216362E0,9.528518677E0
2.334075210E-1,-2.952145040E-1,1.922932148E0,9.588339806E0
2.358518960E-1,-1.085743308E-1,1.736291885E0,9.598209381E0
2.382955420E-1,4.725824669E-2,1.595115423E0,9.648459435E0
2.407400210E-1,2.530409992E-1,1.393819213E0,9.665208817E0
2.431852300E-1,4.540380836E-1,1.140179992E0,9.698708534E0
2.456296050E-1,6.170491576E-1,9.101698995E-1,9.760921478E0
2.480732510E-1,7.845467329E-1,6.517450809E-1,9.818349838E0
2.505177300E-1,7.917252183E-1,4.938187599E-1,9.854242325E0
2.529629380E-1,7.007979155E-1,4.339981973E-1,9.897313118E0
2.554073130E-1,4.875376225E-1,4.746761918E-1,9.916455269E0
2.578509590E-1,1.980060786E-1,5.823532343E-1,9.937990189E0
