"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.366356300E-2,-6.019899845E-1,1.359135192E-2,1.685938388E-1
5.610882400E-2,-6.093201637E-1,1.481304597E-2,1.588202864E-1
5.855314600E-2,-6.178719997E-1,1.969982497E-2,1.478250325E-1
6.099679200E-2,-6.239804626E-1,2.458660305E-2,1.356080920E-1
6.344127100E-2,-6.252021790E-1,2.214321308E-2,1.195733473E-1
6.588653200E-2,-6.252021790E-1,2.580829710E-2,1.073564067E-1
6.833090700E-2,-6.227588058E-1,2.458660305E-2,9.025268257E-2
7.077450100E-2,-6.166502833E-1,2.336490713E-2,8.170082420E-2
7.321898000E-2,-6.093201637E-1,2.214321308E-2,7.314895838E-2
7.566424000E-2,-5.995466113E-1,1.481304597E-2,6.826218218E-2
7.810861500E-2,-5.873296261E-1,8.704573847E-3,6.337540597E-2
8.055220900E-2,-5.726693273E-1,-1.068982761E-3,6.704048812E-2
8.299668800E-2,-5.567872524E-1,-1.206423342E-2,7.314895838E-2
8.544189600E-2,-5.421269536E-1,-2.916795574E-2,8.047912270E-2
8.788627100E-2,-5.213581324E-1,-4.749337584E-2,9.147437662E-2
9.032991700E-2,-5.005893111E-1,-6.948387623E-2,1.024696305E-1
9.277439600E-2,-4.822639227E-1,-9.636115283E-2,1.183516532E-1
9.521960500E-2,-4.627167881E-1,-1.269035190E-1,1.305686086E-1
9.766398000E-2,-4.382829070E-1,-1.659977436E-1,1.429382563E-1
1.001076260E-1,-4.175141156E-1,-2.014268786E-1,1.551551968E-1
1.025521050E-1,-3.943018913E-1,-2.368560284E-1,1.637070626E-1
1.049973130E-1,-3.710896969E-1,-2.649549842E-1,1.771457046E-1
1.074416880E-1,-3.490992188E-1,-2.893888950E-1,1.856975704E-1
1.098853340E-1,-3.258870244E-1,-3.052709103E-1,1.954711229E-1
1.123298130E-1,-3.038965166E-1,-3.199312389E-1,2.003578991E-1
1.147750210E-1,-2.819060087E-1,-3.284831047E-1,1.942494214E-1
1.172193960E-1,-2.611372173E-1,-3.272614181E-1,1.820324808E-1
1.196630420E-1,-2.391466945E-1,-3.235963285E-1,1.551551968E-1
1.221075210E-1,-2.208212912E-1,-3.235963285E-1,1.159082651E-1
1.245527300E-1,-2.012741715E-1,-3.211529553E-1,7.070557028E-2
1.269971050E-1,-1.817270666E-1,-3.174878657E-1,2.305948362E-2
1.294407510E-1,-1.670667231E-1,-3.150444627E-1,-2.580829710E-2
1.318852300E-1,-1.548497826E-1,-3.162661791E-1,-7.345438004E-2
1.343304380E-1,-1.450762302E-1,-3.101576865E-1,-1.101052165E-1
1.367748130E-1,-1.377460510E-1,-3.077143133E-1,-1.382041872E-1
1.392184590E-1,-1.304158866E-1,-3.016058207E-1,-1.626380831E-1
1.416629380E-1,-1.157555580E-1,-2.698417902E-1,-1.882936656E-1
1.441081460E-1,-7.666133344E-2,-1.586675793E-1,-2.310529798E-1
1.465525210E-1,-4.123219103E-2,-8.414421231E-2,-2.762556672E-1
1.489961670E-1,-1.313321572E-2,-4.749337584E-2,-3.067980409E-1
1.514406460E-1,6.413896102E-3,-4.382828996E-2,-3.226800561E-1
1.538858550E-1,1.374406368E-2,-6.337540597E-2,-3.214583695E-1
1.563302300E-1,8.857285604E-3,-9.147437662E-2,-3.031329513E-1
1.587738760E-1,-5.803049076E-3,-1.269035190E-1,-2.725905776E-1
1.612183550E-1,-2.535016090E-2,-1.672194302E-1,-2.286095917E-1
1.636635630E-1,-4.978405312E-2,-1.989834905E-1,-1.772984117E-1
1.661079380E-1,-7.421794534E-2,-2.295258641E-1,-1.223221645E-1
1.685515840E-1,-9.987352788E-2,-2.515163720E-1,-6.490252167E-2
1.709960630E-1,-1.243074164E-1,-2.722851634E-1,-1.359135192E-2
1.734412710E-1,-1.511846930E-1,-2.893888950E-1,3.161134571E-2
1.758856460E-1,-1.780619770E-1,-3.016058207E-1,7.559234649E-2
1.783292920E-1,-2.000524700E-1,-3.113794029E-1,1.159082651E-1
1.807737710E-1,-2.232646793E-1,-3.138227761E-1,1.514901221E-1
1.832189800E-1,-2.464768738E-1,-3.101576865E-1,1.808107942E-1
1.856633550E-1,-2.684673667E-1,-3.016058207E-1,2.052446753E-1
1.881070010E-1,-2.867927849E-1,-2.893888950E-1,2.247917950E-1
1.905514800E-1,-3.026748300E-1,-2.747285664E-1,2.394521236E-1
1.929966880E-1,-3.148917556E-1,-2.588465214E-1,2.467822880E-1
1.954410630E-1,-3.222219348E-1,-2.454078794E-1,2.528907657E-1
1.978847090E-1,-3.283303976E-1,-2.295258641E-1,2.553341687E-1
2.003291880E-1,-3.307738006E-1,-2.185306102E-1,2.541124523E-1
2.027743960E-1,-3.307738006E-1,-2.038702667E-1,2.504473627E-1
2.052187710E-1,-3.271087110E-1,-1.928750277E-1,2.492256761E-1
2.076624170E-1,-3.258870244E-1,-1.806580722E-1,2.480039895E-1
2.101068960E-1,-3.210002482E-1,-1.684411317E-1,2.443388999E-1
2.125521050E-1,-3.112266660E-1,-1.574458778E-1,2.406738251E-1
2.149964800E-1,-3.038965166E-1,-1.501157135E-1,2.370087355E-1
2.174401260E-1,-2.941229641E-1,-1.427855492E-1,2.333436459E-1
2.198846050E-1,-2.843494117E-1,-1.342336833E-1,2.284568697E-1
2.223298130E-1,-2.709107697E-1,-1.305686086E-1,2.247917950E-1
2.247741880E-1,-2.586938143E-1,-1.317902952E-1,2.199050188E-1
2.272178340E-1,-2.464768738E-1,-1.366770715E-1,2.113531530E-1
2.296623130E-1,-2.342599183E-1,-1.464506239E-1,1.979145110E-1
2.321075210E-1,-2.208212912E-1,-1.574458778E-1,1.759240031E-1
2.345518960E-1,-2.098260373E-1,-1.684411317E-1,1.453816444E-1
2.369955420E-1,-1.988307834E-1,-1.843231618E-1,1.049130186E-1
2.394400210E-1,-1.878355294E-1,-1.989834905E-1,5.604523420E-2
2.418852300E-1,-1.805053651E-1,-2.197522968E-1,-6.261184346E-3
2.443296050E-1,-1.743968874E-1,-2.429644912E-1,-8.078455180E-2
2.467732510E-1,-1.707318127E-1,-2.735068500E-1,-1.638597846E-1
2.492177300E-1,-1.719534993E-1,-3.101576865E-1,-2.579302490E-1
2.516629380E-1,-1.743968874E-1,-3.431434333E-1,-3.532224298E-1
2.541073130E-1,-1.768402755E-1,-3.810159862E-1,-4.485146105E-1
2.565509590E-1,-1.805053651E-1,-4.201101959E-1,-5.315898061E-1
2.589954380E-1,-1.853921413E-1,-4.604261220E-1,-6.073349118E-1
2.614406460E-1,-1.902789176E-1,-4.970769584E-1,-6.745280623E-1
2.638850210E-1,-1.951656938E-1,-5.288410187E-1,-7.258392572E-1
2.663286670E-1,-2.000524700E-1,-5.569399595E-1,-7.624900937E-1
2.687731460E-1,-2.086043358E-1,-5.789304972E-1,-7.844805717E-1
2.712183550E-1,-2.171562016E-1,-6.082511544E-1,-7.954758406E-1
2.736627300E-1,-2.257080674E-1,-6.363501549E-1,-7.905890942E-1
2.761063760E-1,-2.391466945E-1,-6.607840061E-1,-7.698202729E-1
2.785508550E-1,-2.513636351E-1,-6.864396334E-1,-7.380561829E-1
2.809960630E-1,-2.696890533E-1,-7.145385742E-1,-6.940752268E-1
2.834404380E-1,-2.904578745E-1,-7.438592315E-1,-6.403206587E-1
2.858840320E-1,-3.148917556E-1,-7.658497691E-1,-5.767925382E-1
2.883285630E-1,-3.405473530E-1,-7.792884111E-1,-5.034908652E-1
2.907737710E-1,-3.686463237E-1,-7.805100679E-1,-4.216373265E-1
2.932181460E-1,-4.004103839E-1,-7.695148587E-1,-3.275668323E-1
2.956617920E-1,-4.309527278E-1,-7.511894107E-1,-2.249445021E-1
2.981061670E-1,-4.614951015E-1,-7.304205894E-1,-1.125486046E-1
3.005514800E-1,-4.883723855E-1,-6.949914694E-1,2.290677279E-3
3.029958550E-1,-5.103628635E-1,-6.534538269E-1,1.207950488E-1
3.054394490E-1,-5.299099684E-1,-6.070294380E-1,2.406738251E-1
3.078839280E-1,-5.409052372E-1,-5.483881235E-1,3.616215885E-1
3.103291880E-1,-5.457920432E-1,-4.909684956E-1,4.727957845E-1
3.127735630E-1,-5.445703268E-1,-4.298837483E-1,5.790832043E-1
3.152171570E-1,-5.360184908E-1,-3.675773442E-1,6.817055345E-1
3.176616360E-1,-5.225798488E-1,-3.077143133E-1,7.721109390E-1
3.201068960E-1,-5.042544007E-1,-2.551814318E-1,8.527427912E-1
3.225512710E-1,-4.834856093E-1,-2.099787444E-1,9.223793745E-1
3.249948650E-1,-4.627167881E-1,-1.708845198E-1,9.822424054E-1
3.274393440E-1,-4.419479966E-1,-1.415638477E-1,1.032331824E0
3.298846050E-1,-4.211791754E-1,-1.183516532E-1,1.073869467E0
3.323289800E-1,-4.016320705E-1,-1.000262350E-1,1.111742020E0
3.347725740E-1,-3.808632791E-1,-8.780929446E-2,1.142284393E0
3.372170530E-1,-3.625378609E-1,-7.925742865E-2,1.165496588E0
3.396623130E-1,-3.454341292E-1,-7.681404054E-2,1.187487125E0
