"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.615036700E-2,-3.888336942E-2,-1.887338907E-1,9.873384476E0
2.859484600E-2,-4.127619043E-2,-1.959123611E-1,9.885348320E0
3.103859600E-2,-4.845465720E-2,-1.935195327E-1,9.909276962E0
3.348323100E-2,-3.888336942E-2,-1.959123611E-1,9.916455269E0
3.592854400E-2,-4.127619043E-2,-1.815554202E-1,9.916455269E0
3.837307500E-2,-4.606183618E-2,-1.887338907E-1,9.892526627E0
4.081682500E-2,-4.606183618E-2,-2.006980032E-1,9.890133858E0
4.326135600E-2,-3.888336942E-2,-1.959123611E-1,9.873384476E0
4.570677300E-2,-5.832505226E-2,-1.911267042E-1,9.878170013E0
4.815125200E-2,-4.606183618E-2,-1.959123611E-1,9.870991707E0
5.059500200E-2,-2.931207791E-2,-2.078764737E-1,9.875777245E0
5.303953300E-2,-3.888336942E-2,-2.030908167E-1,9.868598938E0
5.548495000E-2,-2.691925503E-2,-1.983051747E-1,9.890133858E0
5.792942900E-2,-3.888336942E-2,-1.911267042E-1,9.887741089E0
6.037317900E-2,-5.084748194E-2,-2.126621157E-1,9.926026344E0
6.281781500E-2,-6.311069429E-2,-1.839482337E-1,9.875777245E0
6.526312700E-2,-5.563312769E-2,-2.054836452E-1,9.866206169E0
6.770765800E-2,-2.931207791E-2,-2.078764737E-1,9.885348320E0
7.015140800E-2,-3.649054468E-2,-2.126621157E-1,9.856635094E0
7.259594000E-2,-2.931207791E-2,-1.911267042E-1,9.856635094E0
7.504135600E-2,-4.606183618E-2,-2.054836452E-1,9.870991707E0
7.748583500E-2,-3.888336942E-2,-1.887338907E-1,9.870991707E0
7.992958500E-2,-2.931207791E-2,-2.030908167E-1,9.859027863E0
8.237411700E-2,-3.649054468E-2,-2.006980032E-1,9.873384476E0
8.481953300E-2,-5.084748194E-2,-2.006980032E-1,9.882955551E0
8.726401300E-2,-3.170489892E-2,-2.006980032E-1,9.909276962E0
8.970776300E-2,-3.409772366E-2,-1.911267042E-1,9.870991707E0
9.215239800E-2,-4.845465720E-2,-2.126621157E-1,9.897313118E0
9.459771000E-2,-3.409772366E-2,-1.935195327E-1,9.892526627E0
9.704224200E-2,-3.649054468E-2,-1.887338907E-1,9.890133858E0
9.948599200E-2,-3.888336942E-2,-1.887338907E-1,9.868598938E0
1.019305230E-1,-3.170489892E-2,-1.935195327E-1,9.892526627E0
1.043759400E-1,-4.606183618E-2,-1.983051747E-1,9.902098656E0
1.068204190E-1,-3.888336942E-2,-1.911267042E-1,9.904491425E0
1.092641690E-1,-3.888336942E-2,-2.126621157E-1,9.887741089E0
1.117087000E-1,-5.324030295E-2,-1.983051747E-1,9.894919395E0
1.141541170E-1,-4.366901144E-2,-1.887338907E-1,9.897313118E0
1.165985960E-1,-4.606183618E-2,-1.959123611E-1,9.866206169E0
1.190423460E-1,-3.170489892E-2,-1.959123611E-1,9.868598938E0
1.214869810E-1,-4.845465720E-2,-1.791625917E-1,9.844670296E0
1.239322940E-1,-4.845465720E-2,-1.839482337E-1,9.870991707E0
1.263767730E-1,-3.170489892E-2,-1.863410622E-1,9.851848602E0
1.288205750E-1,-3.649054468E-2,-1.791625917E-1,9.856635094E0
1.312651060E-1,-6.071787328E-2,-2.030908167E-1,9.875777245E0
1.337105230E-1,-4.845465720E-2,-1.935195327E-1,9.887741089E0
1.361550020E-1,-4.127619043E-2,-1.959123611E-1,9.873384476E0
1.385987520E-1,-2.931207791E-2,-2.078764737E-1,9.899705887E0
1.410432830E-1,-2.213360928E-2,-2.006980032E-1,9.868598938E0
1.434887000E-1,-2.931207791E-2,-1.863410622E-1,9.890133858E0
1.459331790E-1,-3.888336942E-2,-1.839482337E-1,9.885348320E0
1.483769290E-1,-3.409772366E-2,-2.078764737E-1,9.868598938E0
1.508215650E-1,-1.734796353E-2,-1.863410622E-1,9.863813400E0
1.532668770E-1,-3.888336942E-2,-1.791625917E-1,9.885348320E0
1.557113560E-1,-4.127619043E-2,-2.126621157E-1,9.909276962E0
1.581551580E-1,-5.563312769E-2,-1.935195327E-1,9.897313118E0
1.605996900E-1,-5.563312769E-2,-1.767697781E-1,9.892526627E0
1.630450540E-1,-5.563312769E-2,-1.791625917E-1,9.892526627E0
1.654895850E-1,-4.366901144E-2,-1.863410622E-1,9.890133858E0
1.679333350E-1,-3.409772366E-2,-2.006980032E-1,9.890133858E0
1.703778670E-1,-3.409772366E-2,-1.863410622E-1,9.880562782E0
1.728232830E-1,-3.409772366E-2,-1.911267042E-1,9.873384476E0
1.752677630E-1,-5.563312769E-2,-1.839482337E-1,9.885348320E0
1.777115130E-1,-6.789634377E-2,-1.767697781E-1,9.880562782E0
1.801561480E-1,-4.606183618E-2,-1.959123611E-1,9.861420631E0
1.826014600E-1,-3.888336942E-2,-1.863410622E-1,9.892526627E0
1.850459400E-1,-4.606183618E-2,-2.006980032E-1,9.890133858E0
1.874896900E-1,-6.789634377E-2,-1.935195327E-1,9.887741089E0
1.899343250E-1,-4.606183618E-2,-1.863410622E-1,9.863813400E0
1.923796380E-1,-5.563312769E-2,-1.935195327E-1,9.892526627E0
1.948241690E-1,-3.888336942E-2,-1.911267042E-1,9.866206169E0
1.972679190E-1,-3.888336942E-2,-2.006980032E-1,9.875777245E0
1.997124500E-1,-5.832505226E-2,-1.935195327E-1,9.863813400E0
2.021578670E-1,-3.170489892E-2,-1.911267042E-1,9.870991707E0
2.046023460E-1,-2.452643216E-2,-1.863410622E-1,9.887741089E0
2.070460960E-1,-4.606183618E-2,-2.054836452E-1,9.885348320E0
2.094907310E-1,-3.649054468E-2,-1.935195327E-1,9.880562782E0
2.119360440E-1,-4.127619043E-2,-2.006980032E-1,9.892526627E0
2.143805230E-1,-4.127619043E-2,-1.959123611E-1,9.882955551E0
2.168243250E-1,-4.127619043E-2,-1.839482337E-1,9.899705887E0
2.192688560E-1,-4.606183618E-2,-1.959123611E-1,9.904491425E0
2.217142210E-1,-5.832505226E-2,-2.054836452E-1,9.906884193E0
