"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.447337170E-1,3.054236295E-4,-1.068982761E-3,-1.527118147E-4
1.471783000E-1,3.054236295E-4,1.527118147E-4,1.068982761E-3
1.496220500E-1,3.054236295E-4,1.527118147E-4,1.068982761E-3
1.520666850E-1,3.054236295E-4,1.374406274E-3,-1.374406274E-3
1.545120500E-1,1.527118147E-3,1.527118147E-4,1.068982761E-3
1.569566330E-1,1.527118147E-3,-1.068982761E-3,2.290677279E-3
1.594003310E-1,3.054236295E-4,-1.068982761E-3,1.068982761E-3
1.618449670E-1,2.748812549E-3,-1.068982761E-3,1.068982761E-3
1.642903310E-1,1.527118147E-3,1.527118147E-4,1.068982761E-3
1.667349150E-1,1.527118147E-3,1.527118147E-4,-1.527118147E-4
1.691786650E-1,3.054236295E-4,-1.068982761E-3,-1.527118147E-4
1.716233000E-1,3.054236295E-4,1.527118147E-4,1.068982761E-3
1.740686650E-1,3.054236295E-4,-1.068982761E-3,1.068982761E-3
1.765132480E-1,-9.162708884E-4,-1.068982761E-3,-1.527118147E-4
1.789569460E-1,3.054236295E-4,-1.068982761E-3,1.068982761E-3
1.814015810E-1,3.054236295E-4,1.374406274E-3,-1.374406274E-3
1.838469460E-1,3.054236295E-4,1.527118147E-4,-1.374406274E-3
1.862915290E-1,-9.162708884E-4,-1.068982761E-3,-1.527118147E-4
1.887352790E-1,3.054236295E-4,-1.068982761E-3,1.068982761E-3
1.911798620E-1,3.054236295E-4,-1.068982761E-3,2.290677279E-3
1.936252790E-1,-9.162708884E-4,1.527118147E-4,-1.374406274E-3
1.960698620E-1,-9.162708884E-4,1.527118147E-4,-2.596100792E-3
1.985135600E-1,1.527118147E-3,-1.068982761E-3,-1.527118147E-4
2.009581960E-1,3.054236295E-4,-1.068982761E-3,-1.527118147E-4
2.034035600E-1,3.054236295E-4,-2.290677279E-3,1.068982761E-3
2.058481440E-1,3.054236295E-4,1.374406274E-3,-1.527118147E-4
2.082918940E-1,3.054236295E-4,-1.068982761E-3,-1.374406274E-3
2.107364770E-1,3.054236295E-4,-1.068982761E-3,-1.374406274E-3
2.131818420E-1,3.054236295E-4,-1.068982761E-3,1.068982761E-3
2.156264250E-1,1.527118147E-3,1.527118147E-4,-1.374406274E-3
2.180701750E-1,-9.162708884E-4,-1.068982761E-3,-2.596100792E-3
2.205148100E-1,-2.137965523E-3,1.374406274E-3,-2.596100792E-3
2.229601750E-1,1.527118147E-3,1.374406274E-3,1.068982761E-3
2.254047580E-1,1.527118147E-3,-1.068982761E-3,1.068982761E-3
2.278484560E-1,3.054236295E-4,1.527118147E-4,-1.527118147E-4
2.302930920E-1,3.054236295E-4,1.527118147E-4,-1.374406274E-3
2.327384560E-1,1.527118147E-3,-2.290677279E-3,-1.374406274E-3
2.351830400E-1,3.054236295E-4,-1.068982761E-3,-2.596100792E-3
2.376267900E-1,3.054236295E-4,1.527118147E-4,-1.374406274E-3
2.400714250E-1,3.054236295E-4,-2.290677279E-3,-1.527118147E-4
2.425167900E-1,-9.162708884E-4,1.527118147E-4,-1.527118147E-4
2.449613730E-1,3.054236295E-4,-2.290677279E-3,-1.527118147E-4
2.474050710E-1,3.054236295E-4,-2.290677279E-3,-1.374406274E-3
2.498497060E-1,3.054236295E-4,-1.068982761E-3,1.068982761E-3
2.522950710E-1,3.054236295E-4,-2.290677279E-3,1.068982761E-3
2.547396540E-1,3.054236295E-4,-2.290677279E-3,-1.527118147E-4
2.571834040E-1,-9.162708884E-4,-2.290677279E-3,1.068982761E-3
2.596280400E-1,-9.162708884E-4,-2.290677279E-3,-2.596100792E-3
2.620734040E-1,3.054236295E-4,-1.068982761E-3,-1.374406274E-3
2.645179870E-1,-9.162708884E-4,1.527118147E-4,-1.527118147E-4
2.669616850E-1,3.054236295E-4,1.527118147E-4,-2.596100792E-3
2.694063210E-1,3.054236295E-4,1.527118147E-4,1.068982761E-3
2.718516850E-1,3.054236295E-4,1.374406274E-3,1.068982761E-3
2.742962690E-1,-9.162708884E-4,1.527118147E-4,-1.527118147E-4
2.767400190E-1,-9.162708884E-4,-1.068982761E-3,1.068982761E-3
2.791846540E-1,3.054236295E-4,1.527118147E-4,-1.527118147E-4
2.816300190E-1,1.527118147E-3,1.527118147E-4,2.290677279E-3
2.840746020E-1,3.054236295E-4,-1.068982761E-3,-1.374406274E-3
2.865183000E-1,3.054236295E-4,-2.290677279E-3,-2.596100792E-3
2.889629350E-1,3.054236295E-4,1.527118147E-4,-1.374406274E-3
2.914083000E-1,-9.162708884E-4,1.527118147E-4,-1.527118147E-4
2.938528830E-1,-9.162708884E-4,1.374406274E-3,-1.527118147E-4
2.962966330E-1,3.054236295E-4,-1.068982761E-3,-2.596100792E-3
2.987412690E-1,3.054236295E-4,-2.290677279E-3,-2.596100792E-3
3.011866330E-1,-9.162708884E-4,-1.068982761E-3,-1.374406274E-3
3.036312170E-1,3.054236295E-4,1.527118147E-4,-1.374406274E-3
3.060749150E-1,1.527118147E-3,1.527118147E-4,-1.374406274E-3
3.085195500E-1,3.054236295E-4,-1.068982761E-3,2.290677279E-3
3.109649150E-1,3.054236295E-4,-2.290677279E-3,1.068982761E-3
3.134094980E-1,3.054236295E-4,-1.068982761E-3,1.068982761E-3
3.158532480E-1,1.527118147E-3,1.527118147E-4,-1.374406274E-3
3.182978830E-1,3.054236295E-4,1.527118147E-4,-1.527118147E-4
3.207432480E-1,-2.137965523E-3,1.527118147E-4,-1.527118147E-4
3.231878310E-1,3.054236295E-4,1.527118147E-4,-1.374406274E-3
3.256315290E-1,3.054236295E-4,-1.068982761E-3,-1.527118147E-4
3.280761650E-1,1.527118147E-3,1.527118147E-4,-1.527118147E-4
3.305215290E-1,-9.162708884E-4,1.527118147E-4,-1.527118147E-4
3.329661120E-1,-9.162708884E-4,1.527118147E-4,-1.527118147E-4
3.354098620E-1,3.054236295E-4,1.527118147E-4,-1.374406274E-3
3.378544980E-1,3.054236295E-4,-1.068982761E-3,-1.527118147E-4
3.402998620E-1,3.054236295E-4,-1.068982761E-3,1.068982761E-3
3.427444460E-1,3.054236295E-4,-1.068982761E-3,-1.527118147E-4
3.451881440E-1,-9.162708884E-4,1.527118147E-4,-1.527118147E-4
3.476327790E-1,1.527118147E-3,-2.290677279E-3,-1.374406274E-3
3.500781440E-1,1.527118147E-3,-1.068982761E-3,-1.527118147E-4
3.525227270E-1,3.054236295E-4,-1.068982761E-3,1.068982761E-3
3.549664770E-1,3.054236295E-4,1.527118147E-4,1.068982761E-3
3.574111120E-1,-9.162708884E-4,1.374406274E-3,-2.596100792E-3
3.598564770E-1,3.054236295E-4,1.527118147E-4,-1.374406274E-3
3.623010600E-1,-9.162708884E-4,1.374406274E-3,-1.527118147E-4
3.647447580E-1,-9.162708884E-4,1.374406274E-3,-1.374406274E-3
3.671893940E-1,3.054236295E-4,-1.068982761E-3,-1.527118147E-4
3.696347580E-1,-9.162708884E-4,1.527118147E-4,-2.596100792E-3
3.720793420E-1,3.054236295E-4,1.527118147E-4,-1.374406274E-3
3.745230920E-1,3.054236295E-4,1.527118147E-4,-1.374406274E-3
3.769676750E-1,1.527118147E-3,-1.068982761E-3,1.068982761E-3
3.794130920E-1,-9.162708884E-4,-2.290677279E-3,-1.527118147E-4
3.818575710E-1,-3.359660041E-3,1.374406274E-3,-1.374406274E-3
3.843013730E-1,-9.162708884E-4,-1.068982761E-3,-1.527118147E-4
3.867460080E-1,3.054236295E-4,-1.068982761E-3,1.068982761E-3
3.891913730E-1,1.527118147E-3,-1.068982761E-3,-1.527118147E-4
3.916359560E-1,-9.162708884E-4,1.374406274E-3,-1.374406274E-3
3.940797060E-1,3.054236295E-4,-1.068982761E-3,-1.527118147E-4
3.965242900E-1,1.527118147E-3,-1.068982761E-3,-1.527118147E-4
3.989697060E-1,1.527118147E-3,1.527118147E-4,-1.374406274E-3
4.014141850E-1,1.527118147E-3,-1.068982761E-3,-1.527118147E-4
4.038579870E-1,1.527118147E-3,1.527118147E-4,1.068982761E-3
4.063026230E-1,-9.162708884E-4,-1.068982761E-3,-2.596100792E-3
4.087479870E-1,-9.162708884E-4,-1.068982761E-3,-1.527118147E-4
