"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.125578720E-1,1.527118147E-3,-1.221694518E-3,-7.635590737E-4,2.099440352E-3
1.150021430E-1,3.054236295E-4,-2.443389036E-3,-7.635590737E-4,2.578072154E-3
1.174456850E-1,1.527118147E-3,-1.221694518E-3,4.581354442E-4,2.008610320E-3
1.198899560E-1,3.054236295E-4,-1.221694518E-3,4.581354442E-4,1.340040736E-3
1.223351640E-1,3.054236295E-4,0.000000000E0,-7.635590737E-4,8.223782903E-4
1.247794350E-1,3.054236295E-4,0.000000000E0,-1.985253533E-3,2.008610262E-3
1.272229760E-1,3.054236295E-4,-1.221694518E-3,-7.635590737E-4,1.472699408E-3
1.296673510E-1,3.054236295E-4,0.000000000E0,-7.635590737E-4,8.223782903E-4
1.321124560E-1,-9.162708884E-4,0.000000000E0,4.581354442E-4,1.024421996E-3
1.345567260E-1,1.527118147E-3,-1.221694518E-3,-7.635590737E-4,2.099440352E-3
1.370002680E-1,3.054236295E-4,0.000000000E0,-1.985253533E-3,2.008610262E-3
1.394446430E-1,-9.162708884E-4,0.000000000E0,-1.985253533E-3,2.186500385E-3
1.418897470E-1,-9.162708884E-4,-1.221694518E-3,4.581354442E-4,1.594358153E-3
1.443340180E-1,3.054236295E-4,-1.221694518E-3,4.581354442E-4,1.340040736E-3
1.467775600E-1,3.054236295E-4,-1.221694518E-3,-7.635590737E-4,1.472699408E-3
1.492219350E-1,3.054236295E-4,0.000000000E0,4.581354442E-4,5.506102784E-4
1.516670390E-1,-9.162708884E-4,0.000000000E0,1.679830020E-3,1.913473605E-3
1.541113100E-1,3.054236295E-4,0.000000000E0,-7.635590737E-4,8.223782903E-4
1.565548510E-1,-9.162708884E-4,1.221694518E-3,-1.985253533E-3,2.504659943E-3
1.589992260E-1,1.527118147E-3,-2.443389036E-3,4.581354442E-4,2.917555124E-3
1.614443310E-1,3.054236295E-4,-2.443389036E-3,4.581354442E-4,2.504659989E-3
1.638886010E-1,3.054236295E-4,-1.221694518E-3,-7.635590737E-4,1.472699408E-3
1.663321430E-1,3.054236295E-4,0.000000000E0,-1.985253533E-3,2.008610262E-3
