"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
3.308089800E-2,0.000000000E0,1.527118147E-4,-2.443389036E-3,2.448156629E-3
3.557438800E-2,0.000000000E0,1.374406274E-3,-1.221694518E-3,1.838893717E-3
3.806787700E-2,0.000000000E0,1.374406274E-3,0.000000000E0,1.374406274E-3
4.056126300E-2,0.000000000E0,1.527118147E-4,1.221694518E-3,1.231202012E-3
4.305464800E-2,-1.221694518E-3,1.527118147E-4,-1.221694518E-3,1.734472798E-3
4.554808500E-2,0.000000000E0,1.527118147E-4,-1.221694518E-3,1.231202012E-3
4.804152300E-2,0.000000000E0,1.527118147E-4,0.000000000E0,1.527118147E-4
5.053490800E-2,0.000000000E0,1.374406274E-3,-1.221694518E-3,1.838893717E-3
5.302829400E-2,0.000000000E0,-1.068982761E-3,0.000000000E0,1.068982761E-3
5.552173100E-2,-1.221694518E-3,1.527118147E-4,-2.443389036E-3,2.736057085E-3
5.801516900E-2,0.000000000E0,1.527118147E-4,-1.221694518E-3,1.231202012E-3
6.050855400E-2,-1.221694518E-3,1.527118147E-4,-1.221694518E-3,1.734472798E-3
6.300194000E-2,-1.221694518E-3,1.527118147E-4,-1.221694518E-3,1.734472798E-3
6.549532500E-2,0.000000000E0,1.374406274E-3,-2.443389036E-3,2.803416235E-3
6.798871000E-2,0.000000000E0,1.374406274E-3,0.000000000E0,1.374406274E-3
7.048209600E-2,-1.221694518E-3,1.374406274E-3,0.000000000E0,1.838893717E-3
7.297548100E-2,0.000000000E0,1.527118147E-4,0.000000000E0,1.527118147E-4
7.546886700E-2,0.000000000E0,1.527118147E-4,0.000000000E0,1.527118147E-4
7.796225200E-2,-1.221694518E-3,1.527118147E-4,-1.221694518E-3,1.734472798E-3
8.045563800E-2,0.000000000E0,1.374406274E-3,0.000000000E0,1.374406274E-3
8.294902300E-2,-1.221694518E-3,1.527118147E-4,0.000000000E0,1.231202012E-3
8.544240800E-2,0.000000000E0,1.527118147E-4,-2.443389036E-3,2.448156629E-3
8.793579400E-2,0.000000000E0,1.527118147E-4,1.221694518E-3,1.231202012E-3
