"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.051614600E-2,-8.793623000E-2,-1.244267747E-1,-9.932906151E0,9.934074663E0
2.294208400E-2,-7.357929647E-2,-1.316052526E-1,-9.935298920E0,9.936442949E0
2.536796900E-2,-7.357929647E-2,-1.339980662E-1,-9.923035622E0,9.924213084E0
2.779385500E-2,-8.793623000E-2,-1.316052526E-1,-9.923035622E0,9.924297893E0
3.021974000E-2,-8.554340899E-2,-1.220339537E-1,-9.925428391E0,9.926547169E0
3.264562500E-2,-7.597211748E-2,-1.124626622E-1,-9.906285286E0,9.907214936E0
3.507156300E-2,-5.204389244E-2,-1.339980662E-1,-9.932906151E0,9.933946278E0
3.749744800E-2,-5.443671346E-2,-1.316052526E-1,-9.954441071E0,9.955459825E0
3.992333400E-2,-9.032905847E-2,-9.810572863E-2,-9.954441071E0,9.955334304E0
4.234921900E-2,-6.640082598E-2,-1.316052526E-1,-9.937691689E0,9.938784891E0
4.477515700E-2,-6.161518395E-2,-1.244267747E-1,-9.935298920E0,9.936269072E0
4.720104200E-2,-8.315058798E-2,-1.220339537E-1,-9.930213928E0,9.931311845E0
4.962692800E-2,-6.879365444E-2,-1.196411327E-1,-9.913464546E0,9.914425141E0
5.205281300E-2,-8.315058798E-2,-1.028913707E-1,-9.923035622E0,9.923917402E0
5.447875000E-2,-5.443671346E-2,-1.244267747E-1,-9.920642853E0,9.921572456E0
5.690463600E-2,-8.315058798E-2,-1.100698411E-1,-9.906285286E0,9.907245710E0
5.933052100E-2,-6.879365444E-2,-1.172483116E-1,-9.915857315E0,9.916789099E0
6.175640700E-2,-8.315058798E-2,-1.124626622E-1,-9.918250084E0,9.919236190E0
6.418234400E-2,-7.357929647E-2,-1.316052526E-1,-9.911071777E0,9.912218603E0
6.660823000E-2,-8.315058798E-2,-1.196411327E-1,-9.913464546E0,9.914535154E0
6.903411500E-2,-6.879365444E-2,-1.268195957E-1,-9.913464546E0,9.914514365E0
7.146000000E-2,-7.357929647E-2,-1.268195957E-1,-9.915857315E0,9.916941233E0
7.388588600E-2,-7.357929647E-2,-1.172483116E-1,-9.935298920E0,9.936263166E0
7.631182300E-2,-9.272187948E-2,-1.292124242E-1,-9.940084457E0,9.941356659E0
7.873770900E-2,-9.990034252E-2,-1.076770201E-1,-9.944869995E0,9.945954637E0
8.116359400E-2,-6.640082598E-2,-1.124626622E-1,-9.937691689E0,9.938549845E0
8.358948000E-2,-6.161518395E-2,-1.196411327E-1,-9.930213928E0,9.931125772E0
8.601536500E-2,-6.879365444E-2,-1.292124242E-1,-9.944869995E0,9.945947297E0
8.844130300E-2,-6.879365444E-2,-1.196411327E-1,-9.913464546E0,9.914425141E0
9.086718800E-2,-8.315058798E-2,-1.076770201E-1,-9.932906151E0,9.933837776E0
9.329307300E-2,-5.682953820E-2,-1.292124242E-1,-9.949655533E0,9.950656796E0
9.571895900E-2,-4.965107143E-2,-1.244267747E-1,-9.920642853E0,9.921547352E0
9.814489600E-2,-4.965107143E-2,-9.332008660E-2,-9.911071777E0,9.911635468E0
1.005707820E-1,-6.879365444E-2,-1.196411327E-1,-9.923035622E0,9.923995290E0
1.029966670E-1,-7.357929647E-2,-1.052841991E-1,-9.918250084E0,9.919081782E0
