"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.241255500E-2,-1.022931710E-1,-9.926026344E0,2.901297435E-2,9.926595823E0
2.483672200E-2,-9.990034252E-2,-9.897313118E0,-4.995017126E-2,9.897943324E0
2.726141000E-2,-9.272187948E-2,-9.918848038E0,-7.387840003E-2,9.919556530E0
2.968557600E-2,-9.511470050E-2,-9.923633575E0,-3.080759197E-2,9.924137204E0
3.210974300E-2,-8.554340899E-2,-9.909276962E0,-4.755735025E-2,9.909760304E0
3.453417000E-2,-9.511470050E-2,-9.918848038E0,-6.430710852E-2,9.919512519E0
3.695823200E-2,-9.032905847E-2,-9.911669731E0,-2.362912335E-2,9.912109490E0
3.938286800E-2,-9.272187948E-2,-9.909276962E0,-4.277170449E-2,9.909803060E0
4.180719100E-2,-9.750752151E-2,-9.928419113E0,-5.712864175E-2,9.929062266E0
4.423104500E-2,-1.118644550E-1,-9.887741089E0,-5.234299600E-2,9.888512390E0
4.665521200E-2,-8.554340899E-2,-9.904491425E0,-5.234299600E-2,9.904999134E0
4.907953500E-2,-1.070788130E-1,-9.880562782E0,-5.712864175E-2,9.881308134E0
5.150338900E-2,-1.381855011E-1,-9.885348320E0,-4.995017126E-2,9.886440293E0
5.392792000E-2,-1.310070455E-1,-9.909276962E0,-4.277170449E-2,9.910235223E0
5.635292000E-2,-1.238285750E-1,-9.892526627E0,-4.755735025E-2,9.893415905E0
5.877713900E-2,-9.511470050E-2,-9.897313118E0,-5.473581702E-2,9.897921487E0
6.120114900E-2,-1.310070455E-1,-9.904491425E0,-4.516452923E-2,9.905460770E0
6.362583700E-2,-1.022931710E-1,-9.894919395E0,-3.320041299E-2,9.895503828E0
6.605068000E-2,-1.022931710E-1,-9.906884193E0,-2.362912335E-2,9.907440469E0
6.847521200E-2,-9.750752151E-2,-9.904491425E0,-5.234299600E-2,9.905109686E0
7.089969100E-2,-1.142572835E-1,-9.873384476E0,-3.798605874E-2,9.874118628E0
7.332401400E-2,-9.511470050E-2,-9.911669731E0,-4.277170449E-2,9.912218374E0
7.574828500E-2,-1.046859920E-1,-9.890133858E0,-5.473581702E-2,9.890839342E0
7.817271200E-2,-1.262213886E-1,-9.904491425E0,-6.669992954E-2,9.905520234E0
8.059693000E-2,-9.990034252E-2,-9.899705887E0,-4.277170449E-2,9.900302326E0
8.302068000E-2,-1.094716340E-1,-9.902098656E0,-4.037888348E-2,9.902786087E0
8.544484700E-2,-1.022931710E-1,-9.916455269E0,-3.320041299E-2,9.917038432E0
8.786932600E-2,-8.075776696E-2,-9.899705887E0,-2.841476910E-2,9.900076053E0
9.029411800E-2,-1.070788130E-1,-9.904491425E0,-2.841476910E-2,9.905110986E0
9.271844100E-2,-9.990034252E-2,-9.897313118E0,-4.755735025E-2,9.897931538E0
9.514266000E-2,-8.793623000E-2,-9.897313118E0,-2.362912335E-2,9.897731966E0
