"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.452620900E-2,-4.247260094E-2,9.703194618E0,7.447660714E-2,9.703573387E0
2.694980300E-2,-4.965107143E-2,9.684052467E0,8.165507019E-2,9.684523993E0
2.937464600E-2,-2.811566554E-2,9.707980156E0,6.011966988E-2,9.708207022E0
3.179928200E-2,-3.529413417E-2,9.710372925E0,7.447660714E-2,9.710722670E0
3.422417800E-2,-5.682953820E-2,9.686445236E0,1.465603895E-2,9.686623029E0
3.664730300E-2,-2.572284266E-2,9.698409081E0,7.477570791E-3,9.698446075E0
3.907146900E-2,-2.572284266E-2,9.700801849E0,2.691925503E-3,9.700836326E0
4.149548000E-2,-1.854437590E-2,9.686445236E0,-3.320041299E-2,9.686519885E0
4.391985500E-2,-1.375873014E-2,9.698409081E0,-3.559323773E-2,9.698484153E0
4.634391700E-2,-3.768695518E-2,9.691230774E0,-5.234299600E-2,9.691445404E0
4.876771900E-2,-3.529413417E-2,9.703194618E0,-4.995017126E-2,9.703387372E0
5.119126100E-2,-1.615155302E-2,9.696016312E0,-3.320041299E-2,9.696086605E0
5.361490700E-2,-2.093719877E-2,9.707980156E0,-4.486542661E-3,9.708003770E0
5.603829200E-2,-4.965107143E-2,9.715159416E0,-2.093719784E-3,9.715286516E0
5.846256300E-2,-4.007977992E-2,9.700801849E0,1.226321608E-2,9.700892397E0
6.088641700E-2,-7.357929647E-2,9.676874161E0,1.465603895E-2,9.677164990E0
6.331027100E-2,-4.247260094E-2,9.679266930E0,1.944168471E-2,9.679379639E0
6.573428200E-2,-4.007977992E-2,9.691230774E0,5.084747914E-3,9.691314986E0
6.815834400E-2,-6.161518395E-2,9.691230774E0,1.704886183E-2,9.691441637E0
7.058173000E-2,-3.529413417E-2,9.684052467E0,1.226321608E-2,9.684124548E0
7.300579200E-2,-3.290131316E-2,9.722337723E0,2.691925503E-3,9.722393766E0
7.542881300E-2,-5.922235921E-2,9.705587387E0,2.991028305E-4,9.705768074E0
7.785282300E-2,-6.161518395E-2,9.686445236E0,1.226321608E-2,9.686648963E0
8.027688600E-2,-5.204389244E-2,9.698409081E0,1.944168471E-2,9.698568206E0
8.270079200E-2,-5.682953820E-2,9.719944954E0,5.533402413E-2,9.720268585E0
8.512521900E-2,-7.836493850E-2,9.707980156E0,4.815555736E-2,9.708415871E0
8.754943800E-2,-6.879365444E-2,9.700801849E0,5.772684515E-2,9.701217525E0
8.997308400E-2,-5.682953820E-2,9.700801849E0,6.251249462E-2,9.701169720E0
9.239652100E-2,-5.682953820E-2,9.700801849E0,5.054837838E-2,9.701100002E0
9.482058400E-2,-6.161518395E-2,9.705587387E0,3.858426586E-2,9.705859658E0
9.724485500E-2,-6.400800496E-2,9.707980156E0,5.054837838E-2,9.708322763E0
9.966985500E-2,-5.682953820E-2,9.719944954E0,5.054837838E-2,9.720242520E0
1.020945940E-1,-8.075776696E-2,9.676874161E0,4.815555736E-2,9.677330949E0
1.045193340E-1,-7.357929647E-2,9.700801849E0,6.251249462E-2,9.701282299E0
1.069443340E-1,-5.682953820E-2,9.693623543E0,5.772684515E-2,9.693962006E0
1.093692820E-1,-6.879365444E-2,9.703194618E0,4.815555736E-2,9.703557972E0
1.117942300E-1,-4.247260094E-2,9.705587387E0,4.097708687E-2,9.705766820E0
1.142185010E-1,-7.357929647E-2,9.698409081E0,2.662015148E-2,9.698724722E0
1.166434480E-1,-6.161518395E-2,9.700801849E0,2.662015148E-2,9.701034047E0
1.190681880E-1,-6.161518395E-2,9.703194618E0,5.084747914E-3,9.703391576E0
1.214930320E-1,-3.768695518E-2,9.703194618E0,5.084747914E-3,9.703269138E0
1.239176150E-1,-4.486542568E-2,9.707980156E0,2.991028305E-4,9.708083833E0
1.263422510E-1,-2.811566554E-2,9.707980156E0,1.465603895E-2,9.708031932E0
1.287666780E-1,-4.725824669E-2,9.705587387E0,2.662015148E-2,9.705738947E0
1.311910530E-1,-3.768695518E-2,9.707980156E0,1.944168471E-2,9.708072774E0
1.336156880E-1,-1.854437590E-2,9.700801849E0,2.901297435E-2,9.700862960E0
1.360400630E-1,-5.204389244E-2,9.688838005E0,2.183450572E-2,9.689002384E0
1.384645420E-1,-4.965107143E-2,9.691230774E0,3.379862010E-2,9.691416898E0
1.408888650E-1,-3.290131316E-2,9.696016312E0,1.704886183E-2,9.696087122E0
