"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.634119800E-2,9.689435959E0,-1.052841991E-1,-1.217348501E-1,9.690772587E0
2.876510400E-2,9.670293808E0,-1.124626622E-1,-8.105687052E-2,9.671287422E0
3.118828100E-2,9.677472115E0,-1.052841991E-1,-7.148557901E-2,9.678308813E0
3.361182300E-2,9.677472115E0,-1.124626622E-1,-6.191428751E-2,9.678323603E0
3.603520900E-2,9.658329964E0,-1.220339537E-1,-5.952146277E-2,9.659284279E0
3.845885400E-2,9.675079346E0,-9.571290761E-2,-4.037888348E-2,9.675637021E0
4.088260400E-2,9.691828728E0,-1.052841991E-1,-2.602194622E-2,9.692435504E0
4.330604200E-2,9.641579628E0,-1.100698411E-1,-4.516452923E-2,9.642313671E0
4.572927100E-2,9.691828728E0,-9.810572863E-2,-4.277170449E-2,9.692419628E0
4.815302100E-2,9.684650421E0,-8.853443712E-2,-4.037888348E-2,9.685139265E0
5.057666700E-2,9.691828728E0,-1.148554832E-1,-4.277170449E-2,9.692603638E0
5.300067700E-2,9.706186295E0,-9.092725813E-2,-6.669992954E-2,9.706841352E0
5.542406300E-2,9.682257652E0,-9.810572863E-2,-7.866404206E-2,9.683074202E0
5.784817700E-2,9.679864883E0,-1.076770201E-1,-7.866404206E-2,9.680783364E0
6.027161500E-2,9.696614265E0,-1.052841991E-1,-1.025922745E-1,9.697728505E0
6.269515600E-2,9.670293808E0,-1.052841991E-1,-9.780662507E-2,9.671361498E0
6.511854200E-2,9.667901039E0,-1.028913707E-1,-8.344969153E-2,9.668808664E0
6.754197900E-2,9.675079346E0,-1.196411327E-1,-9.780662507E-2,9.676313372E0
6.996526100E-2,9.670293808E0,-9.571290761E-2,-1.121635586E-1,9.671417888E0
7.238864600E-2,9.660722733E0,-1.196411327E-1,-1.073779166E-1,9.662060222E0
7.481197900E-2,9.675079346E0,-1.028913707E-1,-1.025922745E-1,9.676170325E0
7.723557300E-2,9.672686577E0,-1.316052526E-1,-9.780662507E-2,9.674076271E0
7.965869800E-2,9.658329964E0,-1.148554832E-1,-1.049850956E-1,9.659583394E0
8.208234400E-2,9.672686577E0,-1.292124242E-1,-1.241276711E-1,9.674345928E0
8.450531300E-2,9.675079346E0,-1.052841991E-1,-9.780662507E-2,9.676146508E0
8.692859400E-2,9.675079346E0,-1.220339537E-1,-8.105687052E-2,9.676188446E0
8.935171900E-2,9.679864883E0,-1.028913707E-1,-7.866404206E-2,9.680731317E0
9.177531300E-2,9.682257652E0,-1.100698411E-1,-8.584251255E-2,9.683263786E0
9.419812500E-2,9.684650421E0,-1.076770201E-1,-8.584251255E-2,9.685629409E0
9.662135400E-2,9.696614265E0,-1.076770201E-1,-8.344969153E-2,9.697571160E0
9.904484400E-2,9.672686577E0,-1.124626622E-1,-1.097707376E-1,9.673963153E0
1.014680730E-1,9.665508270E0,-1.316052526E-1,-9.062815458E-2,9.666829032E0
1.038907810E-1,9.658329964E0,-1.172483116E-1,-9.062815458E-2,9.659466772E0
1.063143750E-1,9.691828728E0,-1.100698411E-1,-7.866404206E-2,9.692772951E0
1.087373960E-1,9.677472115E0,-1.148554832E-1,-1.025922745E-1,9.678697406E0
1.111601040E-1,9.667901039E0,-1.124626622E-1,-1.169492081E-1,9.669262406E0
1.135836460E-1,9.663115501E0,-1.004985496E-1,-1.049850956E-1,9.664208349E0
1.160074480E-1,9.699007034E0,-1.004985496E-1,-1.025922745E-1,9.700070236E0
1.184301560E-1,9.675079346E0,-1.339980662E-1,-1.073779166E-1,9.676603012E0
1.208536980E-1,9.682257652E0,-1.100698411E-1,-9.302098304E-2,9.683330084E0
1.232778130E-1,9.658329964E0,-1.124626622E-1,-9.302098304E-2,9.659432615E0
1.257013020E-1,9.667901039E0,-1.124626622E-1,-8.823533356E-2,9.668957743E0
1.281248960E-1,9.658329964E0,-1.244267747E-1,-9.062815458E-2,9.659556572E0
1.305481250E-1,9.679864883E0,-1.124626622E-1,-1.001994461E-1,9.681036718E0
1.329715630E-1,9.677472115E0,-1.124626622E-1,-1.001994461E-1,9.678644239E0
