"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.168231200E-2,-9.877572060E0,-5.503492057E-2,1.127617657E-1,9.878368987E0
2.410564500E-2,-9.896714211E0,-5.503492057E-2,1.127617657E-1,9.897509597E0
2.652929100E-2,-9.906285286E0,-6.221338734E-2,1.199402362E-1,9.907206687E0
2.895246800E-2,-9.891928673E0,-6.939185411E-2,1.223330572E-1,9.892928458E0
3.137658300E-2,-9.918250084E0,-6.699903309E-2,1.319043487E-1,9.919353424E0
3.380069800E-2,-9.920642853E0,-4.546362907E-2,1.271187067E-1,9.921561405E0
3.622439500E-2,-9.891928673E0,-6.221338734E-2,1.103689447E-1,9.892739998E0
3.864819800E-2,-9.925428391E0,-6.699903309E-2,1.271187067E-1,9.926468494E0
4.107163500E-2,-9.908679008E0,-7.178468257E-2,1.199402362E-1,9.909664898E0
4.349548900E-2,-9.906285286E0,-6.221338734E-2,1.199402362E-1,9.907206687E0
4.591918700E-2,-9.906285286E0,-5.982056633E-2,1.390828192E-1,9.907442187E0
4.834252000E-2,-9.887143135E0,-7.657032460E-2,1.223330572E-1,9.888196386E0
5.076736400E-2,-9.894321442E0,-7.178468257E-2,1.390828192E-1,9.895559300E0
5.319090600E-2,-9.899106979E0,-6.699903309E-2,1.151545867E-1,9.900003456E0
5.561382300E-2,-9.927821159E0,-5.503492057E-2,1.151545867E-1,9.928641518E0
5.803694800E-2,-9.906285286E0,-5.982056633E-2,1.295115203E-1,9.907312446E0
6.046111400E-2,-9.896714211E0,-5.264209956E-2,1.414756328E-1,9.897865361E0
6.288533300E-2,-9.891928673E0,-6.699903309E-2,1.462612897E-1,9.893236786E0
6.530835400E-2,-9.908679008E0,-7.178468257E-2,1.342971772E-1,9.909849064E0
6.773179100E-2,-9.896714211E0,-6.939185411E-2,1.462612897E-1,9.898038177E0
7.015548900E-2,-9.918250084E0,-5.503492057E-2,1.366899908E-1,9.919344622E0
7.257913500E-2,-9.920642853E0,-4.785645381E-2,1.223330572E-1,9.921512497E0
