"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.475673600E-2,-9.750752151E-2,-9.571290575E-3,9.871291161E0,9.871777373E0
2.717991300E-2,-9.511470050E-2,-4.785645287E-3,9.883255005E0,9.883713836E0
2.960361100E-2,-9.272187948E-2,-2.392822644E-3,9.864111900E0,9.864547970E0
3.202741300E-2,-1.094716340E-1,-0.000000000E0,9.830613136E0,9.831222644E0
3.445095400E-2,-8.793623000E-2,-4.785645287E-3,9.840184212E0,9.840578286E0
3.687434000E-2,-1.070788130E-1,-1.435693540E-2,9.871291161E0,9.871882352E0
3.929835000E-2,-1.405783296E-1,-7.178467698E-3,9.864111900E0,9.865116187E0
4.172215200E-2,-1.046859920E-1,3.589234129E-2,9.840184212E0,9.840806509E0
4.414585000E-2,-9.990034252E-2,4.785645287E-3,9.828220367E0,9.828729245E0
4.656991300E-2,-1.142572835E-1,-1.674975827E-2,9.835398674E0,9.836076573E0
4.899314200E-2,-1.094716340E-1,1.435693540E-2,9.847362518E0,9.847981454E0
5.141611100E-2,-1.094716340E-1,2.632104978E-2,9.854540825E0,9.855184002E0
5.383939200E-2,-1.118644550E-1,1.196411345E-2,9.854540825E0,9.855182985E0
5.626371500E-2,-9.272187948E-2,1.914258115E-2,9.840184212E0,9.840639670E0
5.868751700E-2,-1.094716340E-1,2.153540403E-2,9.859326363E0,9.859957613E0
6.111053800E-2,-1.166501045E-1,2.392822690E-2,9.859326363E0,9.860045443E0
6.353392300E-2,-8.554340899E-2,-4.785645287E-3,9.868897438E0,9.869269336E0
6.595746500E-2,-9.272187948E-2,-9.571290575E-3,9.842576981E0,9.843018367E0
6.838090200E-2,-9.990034252E-2,7.178467698E-3,9.852148056E0,9.852657151E0
7.080335000E-2,-1.333998591E-1,-0.000000000E0,9.854540825E0,9.855443693E0
7.322678800E-2,-1.118644550E-1,2.392822690E-2,9.873683929E0,9.874346589E0
7.565032900E-2,-1.046859920E-1,1.914258115E-2,9.840184212E0,9.840759672E0
7.807381900E-2,-1.190429255E-1,1.674975827E-2,9.856933594E0,9.857666643E0
8.049751700E-2,-1.022931710E-1,2.392822690E-2,9.833005905E0,9.833567083E0
8.292064200E-2,-9.272187948E-2,4.785645287E-3,9.837791443E0,9.838229552E0
8.534465200E-2,-1.166501045E-1,2.392822644E-3,9.859326363E0,9.860016699E0
8.776824600E-2,-1.262213886E-1,1.914258115E-2,9.844969749E0,9.845797461E0
9.019194400E-2,-1.190429255E-1,1.435693540E-2,9.842576981E0,9.843307318E0
9.261574600E-2,-1.046859920E-1,2.392822644E-3,9.844969749E0,9.845526611E0
9.503975600E-2,-1.118644550E-1,1.196411345E-2,9.840184212E0,9.840827309E0
9.746319400E-2,-1.190429255E-1,2.392822644E-3,9.811470032E0,9.812192473E0
9.988600600E-2,-1.190429255E-1,-4.785645287E-3,9.842576981E0,9.843298011E0
1.023092880E-1,-1.070788130E-1,-0.000000000E0,9.840184212E0,9.840766799E0
