"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.875923600E-2,-1.519741535E0,5.817549825E-1,9.739685059E0
3.118366300E-2,-1.548455358E0,6.320042610E-1,9.559925079E0
3.360892300E-2,-1.538884044E0,6.918248534E-1,9.380462646E0
3.603366300E-2,-1.558026671E0,7.229315639E-1,9.251250267E0
3.845814200E-2,-1.596311808E0,7.588238716E-1,9.148359299E0
4.088324600E-2,-1.632204175E0,7.372884750E-1,9.059525490E0
4.330850600E-2,-1.675274968E0,7.181459069E-1,8.923134804E0
4.573376700E-2,-1.759023786E0,6.990033388E-1,8.793922424E0
4.815902700E-2,-1.782951951E0,6.607181430E-1,8.707780838E0
5.058428800E-2,-1.861915112E0,6.128616929E-1,8.614460945E0
5.300965200E-2,-1.861915112E0,6.128616929E-1,8.614460945E0
5.543491300E-2,-1.895414591E0,5.434698462E-1,8.477770805E0
5.790887100E-2,-1.948056698E0,4.788636267E-1,8.432307243E0
6.038277700E-2,-1.931306958E0,4.501497746E-1,8.396414757E0
6.281303800E-2,-1.952842355E0,4.094717801E-1,8.360522270E0
6.523840200E-2,-1.979163408E0,3.903291821E-1,8.355736732E0
6.766397500E-2,-2.027318954E0,3.759722710E-1,8.319844246E0
7.008944400E-2,-2.017747641E0,3.640081584E-1,8.350951195E0
7.251501700E-2,-2.022533417E0,3.568296731E-1,8.372486115E0
7.494059000E-2,-2.044068813E0,3.472583890E-1,8.391629219E0
7.736626700E-2,-2.084746838E0,3.664009571E-1,8.405985832E0
7.979204800E-2,-2.084746838E0,3.472583890E-1,8.482556343E0
8.221788100E-2,-2.103889227E0,3.182454109E-1,8.513663292E0
8.464621500E-2,-2.089532375E0,3.086741269E-1,8.573483467E0
8.706975600E-2,-2.111067772E0,3.233301640E-1,8.580661774E0
8.949569400E-2,-2.079961061E0,3.472583890E-1,8.683852196E0
9.192163100E-2,-2.070389748E0,4.118646085E-1,8.777172089E0
9.434756900E-2,-2.024926186E0,4.549354017E-1,8.880064011E0
9.677350600E-2,-2.012962103E0,4.788636267E-1,8.997312546E0
9.919944400E-2,-1.964806437E0,5.027918816E-1,9.112167358E0
1.016253810E-1,-1.955235243E0,5.769693851E-1,9.198608398E0
1.040512670E-1,-1.912164450E0,5.913262963E-1,9.284749985E0
1.064772040E-1,-1.888236165E0,6.272186637E-1,9.387641907E0
1.089031420E-1,-1.852343798E0,6.631109715E-1,9.471389771E0
1.113290790E-1,-1.830808401E0,6.678966284E-1,9.538389206E0
1.137550170E-1,-1.840379715E0,7.205387354E-1,9.605388641E0
1.161809540E-1,-1.811665893E0,7.133602500E-1,9.667601585E0
1.186068920E-1,-1.821237087E0,7.372884750E-1,9.720542908E0
1.210328290E-1,-1.780559182E0,7.564310431E-1,9.744471550E0
1.234587670E-1,-1.778166294E0,7.492526174E-1,9.756435394E0
1.258846520E-1,-1.703988791E0,7.372884750E-1,9.837791443E0
1.283105900E-1,-1.636989832E0,7.564310431E-1,9.907182693E0
1.307365270E-1,-1.572383523E0,8.114659786E-1,9.938289642E0
1.331624650E-1,-1.421336651E0,8.353942037E-1,9.926325798E0
1.355884020E-1,-1.249053478E0,8.521439433E-1,9.900004387E0
1.380143400E-1,-1.062413216E0,8.760721684E-1,9.852148056E0
1.404402770E-1,-9.834501147E-1,8.712865710E-1,9.873683929E0
