"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
9.381756900E-2,-4.948626459E-1,-8.891645670E-1,-9.025268257E-2
9.624350600E-2,-5.192965269E-1,-9.044356942E-1,-7.803573459E-2
9.866944400E-2,-5.480063558E-1,-9.044356942E-1,-8.170082420E-2
1.010953810E-1,-5.730510950E-1,-9.074899554E-1,-7.559234649E-2
1.035212670E-1,-6.005392075E-1,-9.019923210E-1,-7.864658535E-2
1.059472040E-1,-6.268056631E-1,-8.971055746E-1,-8.047912270E-2
1.083731420E-1,-6.512395144E-1,-8.922187686E-1,-8.414421231E-2
1.107990790E-1,-6.781167984E-1,-8.812234998E-1,-9.208522737E-2
1.132250170E-1,-7.056049109E-1,-8.702282906E-1,-9.636115283E-2
1.156509540E-1,-7.330930829E-1,-8.567896485E-1,-1.110214889E-1
1.180768920E-1,-7.618029118E-1,-8.402967453E-1,-1.140757278E-1
1.205028290E-1,-7.886801958E-1,-8.238039017E-1,-1.311794519E-1
1.229287670E-1,-8.180008531E-1,-8.097543716E-1,-1.378987730E-1
1.253546520E-1,-8.479323387E-1,-7.932615280E-1,-1.543916464E-1
1.277805900E-1,-8.778638840E-1,-7.779903412E-1,-1.708845198E-1
1.302065270E-1,-9.077953696E-1,-7.614974380E-1,-1.885990947E-1
1.326324650E-1,-9.389485717E-1,-7.431720495E-1,-2.093679011E-1
1.350584020E-1,-9.713234901E-1,-7.254574895E-1,-2.313583940E-1
1.374843400E-1,-1.006141782E0,-7.034669518E-1,-2.643441558E-1
1.399102770E-1,-1.042792678E0,-6.833090186E-1,-2.936648130E-1
1.423362150E-1,-1.077000022E0,-6.558209062E-1,-3.352024257E-1
1.447621520E-1,-1.117316008E0,-6.265002489E-1,-3.700207174E-1
1.471880900E-1,-1.155188560E0,-6.032879949E-1,-4.133908749E-1
1.496140270E-1,-1.191228509E0,-5.843517780E-1,-4.549284875E-1
1.520399130E-1,-1.226657629E0,-5.629721284E-1,-4.976878166E-1
1.544658500E-1,-1.261475921E0,-5.391490459E-1,-5.380037427E-1
1.568917880E-1,-1.299348474E0,-5.171585679E-1,-5.789304972E-1
1.593177250E-1,-1.342718601E0,-5.049416423E-1,-6.210789680E-1
1.617436630E-1,-1.391586423E0,-5.037199259E-1,-6.565080881E-1
1.641696000E-1,-1.444730163E0,-5.128826499E-1,-6.962131858E-1
1.665955380E-1,-1.503371477E0,-5.360948443E-1,-7.249229550E-1
1.690214750E-1,-1.569953799E0,-5.678588748E-1,-7.579087615E-1
1.714474130E-1,-1.638368726E0,-6.100073457E-1,-7.811209559E-1
1.738732980E-1,-1.703729391E0,-6.582642794E-1,-8.055548072E-1
1.762992360E-1,-1.765424967E0,-7.059103847E-1,-8.214368224E-1
1.787251730E-1,-1.824066281E0,-7.517238855E-1,-8.354863524E-1
1.811511110E-1,-1.868658066E0,-7.773795128E-1,-8.458707333E-1
1.835770480E-1,-1.907752395E0,-7.773795128E-1,-8.483141065E-1
1.860029860E-1,-1.943181515E0,-7.553889751E-1,-8.452599049E-1
1.884289230E-1,-1.978610635E0,-7.144622207E-1,-8.385405540E-1
1.908548610E-1,-2.006709576E0,-6.521558166E-1,-8.299887180E-1
1.932807980E-1,-2.026256800E0,-5.684697032E-1,-8.086090684E-1
1.957067360E-1,-2.034808636E0,-4.701233208E-1,-7.805100679E-1
1.981326210E-1,-2.032976151E0,-3.607816696E-1,-7.389724851E-1
2.005585590E-1,-2.019537449E0,-2.520508468E-1,-6.870504618E-1
2.029844960E-1,-1.998157740E0,-1.543152928E-1,-6.284091473E-1
2.054104340E-1,-1.968837023E0,-8.284615725E-2,-5.661026835E-1
2.078363710E-1,-1.928521156E0,-1.870719716E-2,-5.025745630E-1
2.102623090E-1,-1.871101499E0,4.848600179E-2,-4.335488379E-1
2.126882460E-1,-1.801464915E0,1.266744435E-1,-3.596363366E-1
2.151141840E-1,-1.714724660E0,2.134147584E-1,-2.796153426E-1
2.175401210E-1,-1.616989017E0,3.093177676E-1,-1.989834905E-1
2.199660590E-1,-1.505814791E0,4.107184112E-1,-1.177408099E-1
2.223919960E-1,-1.386088729E0,5.237251520E-1,-3.710897267E-2
2.248178810E-1,-1.256589174E0,6.336776614E-1,4.107947648E-2
2.272438190E-1,-1.118537664E0,7.375217080E-1,1.149920002E-1
