"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.386526000E-2,-2.338984162E-1,-7.417750359E-2,9.727721214E0
2.629125000E-2,-2.506481707E-1,-8.374879509E-2,9.758828163E0
2.871656200E-2,-2.841476798E-1,-1.172483116E-1,9.801898956E0
3.114145800E-2,-2.769692242E-1,-1.196411327E-1,9.818648338E0
3.356598900E-2,-2.578266263E-1,-1.076770201E-1,9.847362518E0
3.599114600E-2,-2.458625287E-1,-7.896314561E-2,9.861719131E0
3.841692700E-2,-2.578266263E-1,-9.092725813E-2,9.873683929E0
4.084229200E-2,-2.338984162E-1,-9.810572863E-2,9.859326363E0
4.326812500E-2,-2.315055877E-1,-1.124626622E-1,9.847362518E0
4.569348900E-2,-2.506481707E-1,-9.571290761E-2,9.828220367E0
4.811885400E-2,-2.410768867E-1,-1.148554832E-1,9.825826645E0
5.054526000E-2,-2.458625287E-1,-1.052841991E-1,9.825826645E0
5.297026000E-2,-2.338984162E-1,-1.172483116E-1,9.847362518E0
5.539489600E-2,-2.362912297E-1,-1.004985496E-1,9.868897438E0
5.786822900E-2,-2.434697002E-1,-1.004985496E-1,9.873683929E0
6.034229200E-2,-2.530409992E-1,-1.124626622E-1,9.864111900E0
6.277364600E-2,-2.362912297E-1,-1.124626622E-1,9.885647774E0
6.519911400E-2,-2.386840582E-1,-8.853443712E-2,9.871291161E0
6.762463500E-2,-2.673979402E-1,-1.004985496E-1,9.902397156E0
7.005020800E-2,-2.530409992E-1,-9.571290761E-2,9.890433311E0
7.247572900E-2,-2.673979402E-1,-1.004985496E-1,9.864111900E0
7.490130200E-2,-2.530409992E-1,-8.614161611E-2,9.880862236E0
7.732697900E-2,-2.338984162E-1,-1.028913707E-1,9.876076698E0
7.975270800E-2,-2.434697002E-1,-1.172483116E-1,9.854540825E0
8.217854200E-2,-2.673979402E-1,-9.571290761E-2,9.864111900E0
8.460447900E-2,-2.362912297E-1,-1.028913707E-1,9.852148056E0
8.703281200E-2,-2.721835673E-1,-9.092725813E-2,9.825826645E0
8.945640600E-2,-2.650051117E-1,-1.100698411E-1,9.842576981E0
9.188239600E-2,-2.626122832E-1,-1.244267747E-1,9.844969749E0
9.430838500E-2,-2.578266263E-1,-1.100698411E-1,9.830613136E0
9.673432300E-2,-2.482553422E-1,-1.004985496E-1,9.852148056E0
9.916031200E-2,-2.458625287E-1,-1.172483116E-1,9.866504669E0
1.015863020E-1,-2.578266263E-1,-9.571290761E-2,9.883255005E0
1.040122390E-1,-2.506481707E-1,-1.220339537E-1,9.883255005E0
1.064382290E-1,-2.602194548E-1,-1.148554832E-1,9.890433311E0
1.088642190E-1,-2.386840582E-1,-1.076770201E-1,9.880862236E0
1.112902080E-1,-2.626122832E-1,-1.004985496E-1,9.868897438E0
1.137161460E-1,-2.506481707E-1,-9.332008660E-2,9.852148056E0
1.161421350E-1,-2.410768867E-1,-1.004985496E-1,9.856933594E0
1.185680730E-1,-2.386840582E-1,-9.810572863E-2,9.847362518E0
1.209940620E-1,-2.458625287E-1,-1.172483116E-1,9.854540825E0
1.234200520E-1,-2.458625287E-1,-1.100698411E-1,9.852148056E0
1.258460420E-1,-2.602194548E-1,-1.004985496E-1,9.828220367E0
1.282719790E-1,-2.530409992E-1,-1.148554832E-1,9.842576981E0
1.306979690E-1,-2.650051117E-1,-1.148554832E-1,9.856933594E0
1.331239580E-1,-2.482553422E-1,-1.004985496E-1,9.878469467E0
1.355499480E-1,-2.602194548E-1,-1.028913707E-1,9.854540825E0
1.379758850E-1,-2.602194548E-1,-1.220339537E-1,9.873683929E0
1.404018750E-1,-2.626122832E-1,-1.172483116E-1,9.871291161E0
1.428278640E-1,-2.578266263E-1,-1.124626622E-1,9.880862236E0
1.452538020E-1,-2.434697002E-1,-1.124626622E-1,9.866504669E0
1.476797920E-1,-2.362912297E-1,-1.363908947E-1,9.861719131E0
1.501057810E-1,-2.458625287E-1,-1.100698411E-1,9.883255005E0
1.525317190E-1,-2.434697002E-1,-1.004985496E-1,9.852148056E0
1.549577080E-1,-2.482553422E-1,-1.076770201E-1,9.866504669E0
1.573836980E-1,-2.482553422E-1,-1.172483116E-1,9.861719131E0
1.598096350E-1,-2.650051117E-1,-1.172483116E-1,9.842576981E0
1.622356250E-1,-2.530409992E-1,-9.571290761E-2,9.856933594E0
1.646616140E-1,-2.578266263E-1,-9.571290761E-2,9.878469467E0
1.670876040E-1,-2.530409992E-1,-1.052841991E-1,9.880862236E0
1.695135420E-1,-2.530409992E-1,-9.571290761E-2,9.885647774E0
1.719395310E-1,-2.721835673E-1,-1.100698411E-1,9.885647774E0
1.743655210E-1,-2.530409992E-1,-1.004985496E-1,9.885647774E0
1.767914580E-1,-2.554338276E-1,-7.896314561E-2,9.868897438E0
1.792174480E-1,-2.458625287E-1,-9.092725813E-2,9.878469467E0
1.816434370E-1,-2.578266263E-1,-1.148554832E-1,9.849755287E0
1.840693750E-1,-2.362912297E-1,-1.148554832E-1,9.861719131E0
1.864953640E-1,-2.530409992E-1,-1.076770201E-1,9.868897438E0
1.889213540E-1,-2.554338276E-1,-1.076770201E-1,9.856933594E0
1.913472920E-1,-2.673979402E-1,-1.100698411E-1,9.866504669E0
1.937732810E-1,-2.721835673E-1,-1.172483116E-1,9.880862236E0
1.961992710E-1,-2.482553422E-1,-1.076770201E-1,9.864111900E0
1.986252600E-1,-2.458625287E-1,-8.135596663E-2,9.859326363E0
2.010511980E-1,-2.626122832E-1,-1.124626622E-1,9.866504669E0
2.034771870E-1,-2.578266263E-1,-1.220339537E-1,9.873683929E0
2.059031770E-1,-2.530409992E-1,-1.172483116E-1,9.852148056E0
2.083291140E-1,-2.602194548E-1,-1.052841991E-1,9.868897438E0
2.107551040E-1,-2.410768867E-1,-1.028913707E-1,9.856933594E0
2.131810940E-1,-2.458625287E-1,-1.076770201E-1,9.842576981E0
2.156070310E-1,-2.386840582E-1,-1.268195957E-1,9.844969749E0
2.180330210E-1,-2.530409992E-1,-1.220339537E-1,9.852148056E0
2.204590100E-1,-2.386840582E-1,-1.052841991E-1,9.842576981E0
2.228850000E-1,-2.362912297E-1,-1.172483116E-1,9.840184212E0
2.253109370E-1,-2.554338276E-1,-9.571290761E-2,9.859326363E0
2.277369270E-1,-2.434697002E-1,-1.076770201E-1,9.861719131E0
2.301629170E-1,-2.243271172E-1,-9.332008660E-2,9.854540825E0
2.325888540E-1,-2.578266263E-1,-7.657032460E-2,9.897611618E0
2.350148440E-1,-2.626122832E-1,-8.614161611E-2,9.895218849E0
2.374408330E-1,-2.386840582E-1,-1.100698411E-1,9.880862236E0
2.398667710E-1,-2.482553422E-1,-1.244267747E-1,9.878469467E0
2.422927600E-1,-2.530409992E-1,-1.028913707E-1,9.878469467E0
2.447187500E-1,-2.554338276E-1,-9.810572863E-2,9.856933594E0
2.471447390E-1,-2.338984162E-1,-8.374879509E-2,9.871291161E0
2.495706770E-1,-2.602194548E-1,-9.092725813E-2,9.840184212E0
2.519966670E-1,-2.554338276E-1,-1.028913707E-1,9.854540825E0
2.544226560E-1,-2.554338276E-1,-9.092725813E-2,9.864111900E0
