"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
9.620432300E-2,1.756185899E-3,-6.108472589E-4,2.672456671E-3
9.863031200E-2,-1.298050396E-3,6.108472589E-4,-9.926267667E-4
1.010563020E-1,1.756185899E-3,-1.832541777E-3,2.290677221E-4
1.034822390E-1,-7.635590737E-5,-6.108472589E-4,1.450762269E-3
1.059082290E-1,1.756185899E-3,-1.221694518E-3,-3.817795368E-4
1.083342190E-1,1.756185899E-3,-1.832541777E-3,8.399150101E-4
1.107602080E-1,5.344913807E-4,6.108472589E-4,-4.046862945E-3
1.131861460E-1,5.344913807E-4,6.108472589E-4,1.450762269E-3
1.156121350E-1,-6.872031372E-4,0.000000000E0,-3.436015919E-3
1.180380730E-1,1.145338640E-3,1.832541777E-3,2.061609412E-3
1.204640620E-1,1.145338640E-3,6.108472589E-4,-1.603474026E-3
1.228900520E-1,5.344913807E-4,-6.108472589E-4,1.450762269E-3
1.253160420E-1,1.756185899E-3,-6.108472589E-4,8.399150101E-4
1.277419790E-1,1.756185899E-3,-6.108472589E-4,-3.817795368E-4
1.301679690E-1,1.756185899E-3,0.000000000E0,2.061609412E-3
1.325939580E-1,-7.635590737E-5,-1.221694518E-3,-2.214321401E-3
1.350199480E-1,1.145338640E-3,0.000000000E0,1.450762269E-3
1.374458850E-1,5.344913807E-4,0.000000000E0,-3.817795368E-4
1.398718750E-1,5.344913807E-4,-1.832541777E-3,8.399150101E-4
1.422978640E-1,5.344913807E-4,-1.221694518E-3,-2.214321401E-3
1.447238020E-1,5.344913807E-4,1.221694518E-3,2.290677221E-4
1.471497920E-1,1.145338640E-3,-6.108472589E-4,8.399150101E-4
1.495757810E-1,-7.635590737E-5,0.000000000E0,2.290677221E-4
1.520017190E-1,2.367033157E-3,0.000000000E0,2.290677221E-4
1.544277080E-1,1.756185899E-3,0.000000000E0,-3.817795368E-4
1.568536980E-1,5.344913807E-4,-6.108472589E-4,8.399150101E-4
1.592796350E-1,1.145338640E-3,-6.108472589E-4,-9.926267667E-4
1.617056250E-1,1.145338640E-3,-1.221694518E-3,8.399150101E-4
1.641316140E-1,1.145338640E-3,-6.108472589E-4,-9.926267667E-4
1.665576040E-1,1.756185899E-3,-6.108472589E-4,1.450762269E-3
1.689835420E-1,1.145338640E-3,6.108472589E-4,2.290677221E-4
1.714095310E-1,-7.635590737E-5,-1.832541777E-3,2.061609412E-3
1.738355210E-1,-6.872031372E-4,-6.108472589E-4,8.399150101E-4
1.762614580E-1,-6.872031372E-4,-6.108472589E-4,2.290677221E-4
1.786874480E-1,1.145338640E-3,6.108472589E-4,8.399150101E-4
1.811134370E-1,-6.872031372E-4,0.000000000E0,8.399150101E-4
1.835393750E-1,1.756185899E-3,-6.108472589E-4,2.061609412E-3
1.859653640E-1,-7.635590737E-5,6.108472589E-4,2.290677221E-4
1.883913540E-1,1.756185899E-3,0.000000000E0,-3.817795368E-4
1.908172920E-1,5.344913807E-4,0.000000000E0,-9.926267667E-4
1.932432810E-1,5.344913807E-4,1.832541777E-3,1.450762269E-3
1.956692710E-1,-6.872031372E-4,-1.221694518E-3,-3.817795368E-4
1.980952600E-1,-6.872031372E-4,0.000000000E0,-3.817795368E-4
2.005211980E-1,-7.635590737E-5,-6.108472589E-4,2.290677221E-4
2.029471870E-1,5.344913807E-4,6.108472589E-4,2.290677221E-4
2.053731770E-1,5.344913807E-4,1.221694518E-3,1.450762269E-3
2.077991140E-1,-7.635590737E-5,0.000000000E0,2.290677221E-4
2.102251040E-1,-7.635590737E-5,0.000000000E0,1.450762269E-3
2.126510940E-1,1.145338640E-3,1.221694518E-3,-3.817795368E-4
2.150770310E-1,1.756185899E-3,1.221694518E-3,-3.817795368E-4
2.175030210E-1,1.145338640E-3,-1.221694518E-3,-9.926267667E-4
2.199290100E-1,5.344913807E-4,0.000000000E0,8.399150101E-4
2.223550000E-1,5.344913807E-4,-6.108472589E-4,-3.817795368E-4
2.247809370E-1,5.344913807E-4,-1.221694518E-3,-9.926267667E-4
2.272069270E-1,5.344913807E-4,-1.832541777E-3,2.290677221E-4
