"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.431417800E-2,-2.578266263E-1,-9.810572863E-2,9.950253487E0
2.673949000E-2,-2.195414752E-1,-1.052841991E-1,9.947860718E0
2.916370900E-2,-2.506481707E-1,-9.092725813E-2,9.943075180E0
3.158782300E-2,-2.362912297E-1,-1.100698411E-1,9.902397156E0
3.401162500E-2,-2.315055877E-1,-1.076770201E-1,9.916754723E0
3.643584400E-2,-2.291127741E-1,-1.052841991E-1,9.904789925E0
3.885969800E-2,-2.291127741E-1,-8.853443712E-2,9.868897438E0
4.128521900E-2,-2.291127741E-1,-1.316052526E-1,9.816255569E0
4.371074000E-2,-2.362912297E-1,-9.810572863E-2,9.837791443E0
4.613568800E-2,-2.315055877E-1,-9.810572863E-2,9.844969749E0
4.856016700E-2,-2.721835673E-1,-7.896314561E-2,9.833005905E0
5.098464600E-2,-2.458625287E-1,-8.135596663E-2,9.828220367E0
5.345761500E-2,-2.386840582E-1,-1.220339537E-1,9.840184212E0
5.593162500E-2,-2.434697002E-1,-9.092725813E-2,9.833005905E0
5.836396900E-2,-2.386840582E-1,-9.571290761E-2,9.818648338E0
6.078938600E-2,-2.434697002E-1,-1.124626622E-1,9.823433876E0
6.321490700E-2,-2.195414752E-1,-8.374879509E-2,9.849755287E0
6.564037500E-2,-2.195414752E-1,-1.028913707E-1,9.852148056E0
6.806589600E-2,-2.626122832E-1,-1.004985496E-1,9.880862236E0
7.049146900E-2,-2.410768867E-1,-9.092725813E-2,9.883255005E0
7.291709400E-2,-2.315055877E-1,-1.124626622E-1,9.892826080E0
7.534277100E-2,-2.219343036E-1,-1.100698411E-1,9.880862236E0
7.776860500E-2,-2.267199457E-1,-1.076770201E-1,9.878469467E0
8.019449000E-2,-2.267199457E-1,-1.363908947E-1,9.883255005E0
8.262277100E-2,-2.458625287E-1,-1.076770201E-1,9.876076698E0
8.504636500E-2,-2.530409992E-1,-1.052841991E-1,9.876076698E0
8.747230300E-2,-2.099701911E-1,-1.172483116E-1,9.856933594E0
8.989824000E-2,-2.338984162E-1,-1.004985496E-1,9.864111900E0
9.232417800E-2,-2.386840582E-1,-8.374879509E-2,9.864111900E0
9.475011500E-2,-2.315055877E-1,-9.810572863E-2,9.876076698E0
9.717605300E-2,-2.458625287E-1,-1.100698411E-1,9.885647774E0
9.960199000E-2,-2.386840582E-1,-1.076770201E-1,9.859326363E0
1.020279280E-1,-2.602194548E-1,-1.076770201E-1,9.856933594E0
1.044538650E-1,-2.386840582E-1,-1.268195957E-1,9.864111900E0
1.068798030E-1,-2.195414752E-1,-1.052841991E-1,9.878469467E0
1.093057400E-1,-2.362912297E-1,-6.939185411E-2,9.842576981E0
1.117316250E-1,-2.386840582E-1,-8.614161611E-2,9.849755287E0
1.141576150E-1,-2.578266263E-1,-7.896314561E-2,9.859326363E0
1.165835000E-1,-2.458625287E-1,-8.135596663E-2,9.854540825E0
1.190094380E-1,-2.243271172E-1,-9.092725813E-2,9.864111900E0
1.214353750E-1,-2.291127741E-1,-1.076770201E-1,9.849755287E0
1.238613130E-1,-2.291127741E-1,-1.052841991E-1,9.864111900E0
1.262872500E-1,-2.338984162E-1,-9.810572863E-2,9.868897438E0
1.287131880E-1,-2.386840582E-1,-1.004985496E-1,9.861719131E0
1.311391250E-1,-2.291127741E-1,-1.124626622E-1,9.892826080E0
1.335650630E-1,-2.171486616E-1,-9.810572863E-2,9.878469467E0
1.359910000E-1,-2.386840582E-1,-1.004985496E-1,9.871291161E0
1.384169380E-1,-2.434697002E-1,-1.100698411E-1,9.878469467E0
1.408428750E-1,-2.673979402E-1,-1.172483116E-1,9.868897438E0
1.432688130E-1,-2.362912297E-1,-1.028913707E-1,9.859326363E0
1.456947500E-1,-2.482553422E-1,-1.028913707E-1,9.847362518E0
1.481206880E-1,-2.291127741E-1,-1.004985496E-1,9.859326363E0
1.505466250E-1,-2.530409992E-1,-7.896314561E-2,9.868897438E0
1.529725630E-1,-2.458625287E-1,-1.028913707E-1,9.861719131E0
1.553978230E-1,-2.458625287E-1,-1.004985496E-1,9.856933594E0
1.578244380E-1,-2.530409992E-1,-8.853443712E-2,9.868897438E0
1.602503750E-1,-2.386840582E-1,-1.124626622E-1,9.880862236E0
1.626763130E-1,-2.219343036E-1,-1.124626622E-1,9.868897438E0
1.651022500E-1,-2.362912297E-1,-9.092725813E-2,9.885647774E0
1.675281880E-1,-2.554338276E-1,-1.028913707E-1,9.883255005E0
1.699541250E-1,-2.578266263E-1,-9.571290761E-2,9.866504669E0
1.723800110E-1,-2.434697002E-1,-1.100698411E-1,9.873683929E0
1.748059480E-1,-2.362912297E-1,-1.124626622E-1,9.878469467E0
1.772318860E-1,-2.434697002E-1,-1.196411327E-1,9.868897438E0
1.796578230E-1,-2.267199457E-1,-1.028913707E-1,9.880862236E0
1.820837610E-1,-2.195414752E-1,-9.571290761E-2,9.861719131E0
1.845096980E-1,-2.243271172E-1,-8.614161611E-2,9.856933594E0
1.869356360E-1,-2.219343036E-1,-9.810572863E-2,9.847362518E0
1.893615730E-1,-2.362912297E-1,-1.028913707E-1,9.861719131E0
1.917875110E-1,-2.315055877E-1,-1.100698411E-1,9.873683929E0
1.942134480E-1,-2.458625287E-1,-9.092725813E-2,9.876076698E0
1.966393860E-1,-2.315055877E-1,-8.614161611E-2,9.873683929E0
1.990653230E-1,-2.386840582E-1,-1.076770201E-1,9.888040543E0
2.014912610E-1,-2.386840582E-1,-1.052841991E-1,9.861719131E0
2.039171980E-1,-2.171486616E-1,-9.810572863E-2,9.873683929E0
2.063431360E-1,-2.267199457E-1,-9.332008660E-2,9.878469467E0
2.087690730E-1,-2.482553422E-1,-8.853443712E-2,9.866504669E0
2.111950110E-1,-2.386840582E-1,-9.810572863E-2,9.876076698E0
2.136209480E-1,-2.434697002E-1,-1.004985496E-1,9.866504669E0
2.160468860E-1,-2.554338276E-1,-1.076770201E-1,9.856933594E0
2.184728230E-1,-2.482553422E-1,-1.052841991E-1,9.864111900E0
2.208987610E-1,-2.578266263E-1,-1.028913707E-1,9.878469467E0
2.233246980E-1,-2.386840582E-1,-1.028913707E-1,9.864111900E0
2.257506360E-1,-2.458625287E-1,-1.052841991E-1,9.871291161E0
2.281765730E-1,-2.386840582E-1,-1.076770201E-1,9.873683929E0
2.306025110E-1,-2.482553422E-1,-1.124626622E-1,9.864111900E0
2.330284480E-1,-2.219343036E-1,-9.810572863E-2,9.878469467E0
2.354543340E-1,-2.410768867E-1,-9.571290761E-2,9.861719131E0
2.378802710E-1,-2.506481707E-1,-9.092725813E-2,9.873683929E0
2.403062090E-1,-2.362912297E-1,-8.374879509E-2,9.868897438E0
2.427321460E-1,-2.458625287E-1,-1.387837082E-1,9.880862236E0
2.451580840E-1,-2.099701911E-1,-1.148554832E-1,9.861719131E0
2.475840210E-1,-2.386840582E-1,-1.124626622E-1,9.871291161E0
2.500099590E-1,-2.338984162E-1,-1.028913707E-1,9.852148056E0
2.524358960E-1,-2.650051117E-1,-1.052841991E-1,9.873683929E0
2.548618340E-1,-2.434697002E-1,-9.810572863E-2,9.854540825E0
2.572877710E-1,-2.434697002E-1,-1.028913707E-1,9.871291161E0
2.597137090E-1,-2.338984162E-1,-8.853443712E-2,9.866504669E0
2.621396460E-1,-2.673979402E-1,-1.004985496E-1,9.859326363E0
2.645655840E-1,-2.338984162E-1,-1.124626622E-1,9.876076698E0
2.669915210E-1,-2.410768867E-1,-8.853443712E-2,9.878469467E0
2.694174590E-1,-2.458625287E-1,-1.004985496E-1,9.864111900E0
2.718433960E-1,-2.410768867E-1,-1.124626622E-1,9.880862236E0
2.742693340E-1,-2.243271172E-1,-1.268195957E-1,9.878469467E0
2.766952710E-1,-2.362912297E-1,-1.244267747E-1,9.888040543E0
2.791212090E-1,-2.267199457E-1,-1.052841991E-1,9.856933594E0
2.815471460E-1,-2.315055877E-1,-1.076770201E-1,9.873683929E0
2.839730840E-1,-2.291127741E-1,-1.052841991E-1,9.871291161E0
2.863990210E-1,-2.410768867E-1,-1.028913707E-1,9.871291161E0
2.888249590E-1,-2.482553422E-1,-1.076770201E-1,9.861719131E0
2.912508960E-1,-2.267199457E-1,-8.374879509E-2,9.888040543E0
2.936768340E-1,-2.506481707E-1,-1.004985496E-1,9.864111900E0
2.961027710E-1,-2.338984162E-1,-1.148554832E-1,9.885647774E0
2.985287090E-1,-2.482553422E-1,-1.124626622E-1,9.873683929E0
3.009546460E-1,-2.386840582E-1,-9.332008660E-2,9.885647774E0
3.033805840E-1,-2.530409992E-1,-1.004985496E-1,9.873683929E0
3.058065210E-1,-2.434697002E-1,-1.076770201E-1,9.873683929E0
3.082324590E-1,-2.482553422E-1,-9.092725813E-2,9.864111900E0
3.106583960E-1,-2.578266263E-1,-1.196411327E-1,9.883255005E0
3.130843340E-1,-2.434697002E-1,-1.100698411E-1,9.864111900E0
3.155102190E-1,-2.530409992E-1,-9.571290761E-2,9.876076698E0
3.179361570E-1,-2.434697002E-1,-1.052841991E-1,9.880862236E0
3.203620940E-1,-2.410768867E-1,-1.028913707E-1,9.868897438E0
3.227880320E-1,-2.338984162E-1,-1.076770201E-1,9.880862236E0
3.252139690E-1,-2.410768867E-1,-9.571290761E-2,9.890433311E0
3.276399070E-1,-2.362912297E-1,-1.028913707E-1,9.854540825E0
3.300658440E-1,-2.267199457E-1,-8.853443712E-2,9.864111900E0
3.324917820E-1,-2.291127741E-1,-1.052841991E-1,9.883255005E0
3.349177190E-1,-2.123630047E-1,-1.100698411E-1,9.888040543E0
3.373436570E-1,-2.410768867E-1,-1.100698411E-1,9.856933594E0
3.397695940E-1,-2.506481707E-1,-1.076770201E-1,9.861719131E0
3.421955320E-1,-2.530409992E-1,-9.571290761E-2,9.876076698E0
