"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
9.691667100E-2,6.337540224E-3,1.832541777E-3,1.527118147E-4
9.934255600E-2,6.337540224E-3,3.665083554E-3,-2.290677279E-3
1.017684940E-1,4.504998680E-3,3.665083554E-3,3.206948051E-3
1.041944310E-1,3.894151188E-3,-6.108472589E-4,-3.512371797E-3
1.066203690E-1,1.450762269E-3,1.221694518E-3,3.817795310E-3
1.090463060E-1,1.450762269E-3,-0.000000000E0,-1.679830020E-3
1.114722440E-1,2.290677221E-4,-1.832541777E-3,2.596100792E-3
1.138981810E-1,8.399150101E-4,-0.000000000E0,-1.068982761E-3
1.163241190E-1,-2.825168660E-3,-3.665083554E-3,1.374406274E-3
1.187500560E-1,-2.214321401E-3,-3.665083554E-3,-2.290677279E-3
1.211759940E-1,-3.436015919E-3,-3.054236295E-3,-1.679830020E-3
1.236019310E-1,-3.436015919E-3,-3.054236295E-3,1.374406274E-3
1.260278690E-1,-2.825168660E-3,-1.221694518E-3,-2.290677279E-3
1.284538060E-1,-1.603474026E-3,-1.832541777E-3,1.985253533E-3
1.308797440E-1,-1.603474026E-3,-6.108472589E-4,-2.290677279E-3
1.333056810E-1,-1.603474026E-3,6.108472589E-4,1.527118147E-4
1.357316190E-1,-9.926267667E-4,6.108472589E-4,-2.290677279E-3
1.381575040E-1,8.399150101E-4,6.108472589E-4,7.635590737E-4
1.405834420E-1,-3.817795368E-4,1.221694518E-3,1.374406274E-3
1.430093790E-1,8.399150101E-4,1.832541777E-3,1.527118147E-4
1.454353170E-1,2.672456671E-3,-6.108472589E-4,7.635590737E-4
1.478612540E-1,1.450762269E-3,1.832541777E-3,-4.581354442E-4
1.502871920E-1,2.061609412E-3,-0.000000000E0,1.527118147E-4
1.527131290E-1,2.061609412E-3,-6.108472589E-4,-4.581354442E-4
1.551390670E-1,2.672456671E-3,-3.054236295E-3,1.985253533E-3
1.575650040E-1,1.450762269E-3,-1.832541777E-3,7.635590737E-4
1.599909420E-1,2.290677221E-4,-0.000000000E0,1.374406274E-3
1.624168790E-1,2.290677221E-4,-0.000000000E0,-4.581354442E-4
1.648428170E-1,-3.817795368E-4,1.221694518E-3,-4.581354442E-4
1.672687540E-1,1.450762269E-3,-0.000000000E0,-4.581354442E-4
1.696946920E-1,-3.817795368E-4,-1.221694518E-3,-1.068982761E-3
1.721206290E-1,-9.926267667E-4,6.108472589E-4,-4.581354442E-4
1.745465670E-1,8.399150101E-4,-1.221694518E-3,-1.679830020E-3
1.769725040E-1,-3.817795368E-4,-6.108472589E-4,1.527118147E-4
1.793983900E-1,2.290677221E-4,6.108472589E-4,-1.068982761E-3
1.818243270E-1,-3.817795368E-4,-1.221694518E-3,7.635590737E-4
1.842502650E-1,2.290677221E-4,-1.221694518E-3,-4.581354442E-4
1.866762020E-1,2.290677221E-4,-0.000000000E0,1.527118147E-4
1.891021400E-1,2.290677221E-4,-1.221694518E-3,7.635590737E-4
1.915280770E-1,2.290677221E-4,-0.000000000E0,-4.581354442E-4
1.939540150E-1,8.399150101E-4,-1.832541777E-3,1.527118147E-4
1.963799520E-1,1.450762269E-3,-1.221694518E-3,7.635590737E-4
1.988058900E-1,8.399150101E-4,-0.000000000E0,-4.581354442E-4
2.012318270E-1,8.399150101E-4,-6.108472589E-4,-4.581354442E-4
2.036577650E-1,1.450762269E-3,-6.108472589E-4,-4.581354442E-4
2.060837020E-1,8.399150101E-4,-6.108472589E-4,1.527118147E-4
2.085096400E-1,2.061609412E-3,-1.221694518E-3,7.635590737E-4
2.109355770E-1,2.061609412E-3,6.108472589E-4,1.527118147E-4
2.133615150E-1,1.450762269E-3,-6.108472589E-4,7.635590737E-4
2.157874520E-1,2.290677221E-4,-1.832541777E-3,-4.581354442E-4
2.182133900E-1,1.450762269E-3,6.108472589E-4,1.374406274E-3
2.206392750E-1,8.399150101E-4,-1.221694518E-3,1.527118147E-4
2.230652130E-1,-3.817795368E-4,-1.221694518E-3,-4.581354442E-4
2.254911500E-1,8.399150101E-4,-0.000000000E0,7.635590737E-4
2.279170880E-1,8.399150101E-4,6.108472589E-4,1.527118147E-4
2.303430250E-1,1.450762269E-3,-6.108472589E-4,1.527118147E-4
2.327689630E-1,2.290677221E-4,-0.000000000E0,-4.581354442E-4
2.351949000E-1,8.399150101E-4,-0.000000000E0,-4.581354442E-4
2.376208380E-1,8.399150101E-4,-1.221694518E-3,-2.290677279E-3
2.400467750E-1,-3.817795368E-4,-1.221694518E-3,-4.581354442E-4
2.424727130E-1,1.450762269E-3,-0.000000000E0,7.635590737E-4
2.448986500E-1,2.290677221E-4,-0.000000000E0,7.635590737E-4
2.473245880E-1,8.399150101E-4,-6.108472589E-4,7.635590737E-4
2.497505250E-1,2.290677221E-4,-6.108472589E-4,-1.679830020E-3
2.521764630E-1,2.290677221E-4,6.108472589E-4,7.635590737E-4
2.546024000E-1,2.290677221E-4,-1.221694518E-3,-4.581354442E-4
2.570283380E-1,2.290677221E-4,-6.108472589E-4,1.527118147E-4
2.594542750E-1,2.290677221E-4,-1.221694518E-3,7.635590737E-4
2.618802130E-1,2.290677221E-4,-0.000000000E0,1.527118147E-4
2.643060980E-1,2.290677221E-4,1.221694518E-3,-4.581354442E-4
2.667320360E-1,8.399150101E-4,-1.221694518E-3,1.527118147E-4
2.691579730E-1,8.399150101E-4,-6.108472589E-4,1.527118147E-4
2.715839110E-1,1.450762269E-3,-0.000000000E0,1.527118147E-4
2.740098480E-1,2.290677221E-4,1.221694518E-3,1.374406274E-3
2.764357860E-1,8.399150101E-4,-1.221694518E-3,-4.581354442E-4
2.788617230E-1,2.290677221E-4,-0.000000000E0,1.374406274E-3
2.812876610E-1,8.399150101E-4,-0.000000000E0,1.527118147E-4
2.837135980E-1,2.061609412E-3,-0.000000000E0,-4.581354442E-4
2.861395360E-1,8.399150101E-4,-6.108472589E-4,-1.068982761E-3
2.885654730E-1,-3.817795368E-4,6.108472589E-4,-1.068982761E-3
2.909914110E-1,-3.817795368E-4,-6.108472589E-4,1.527118147E-4
2.934173480E-1,8.399150101E-4,-6.108472589E-4,-4.581354442E-4
2.958432860E-1,8.399150101E-4,-0.000000000E0,7.635590737E-4
2.982692230E-1,2.290677221E-4,-1.221694518E-3,1.527118147E-4
3.006951610E-1,2.290677221E-4,6.108472589E-4,1.527118147E-4
3.031210980E-1,8.399150101E-4,-1.221694518E-3,1.527118147E-4
3.055470360E-1,1.450762269E-3,-6.108472589E-4,1.527118147E-4
3.079729210E-1,2.290677221E-4,-6.108472589E-4,1.374406274E-3
3.103989110E-1,8.399150101E-4,-1.221694518E-3,7.635590737E-4
3.128247960E-1,8.399150101E-4,6.108472589E-4,1.374406274E-3
3.152507330E-1,2.290677221E-4,-0.000000000E0,-4.581354442E-4
3.176766710E-1,-9.926267667E-4,-0.000000000E0,1.527118147E-4
3.201026080E-1,-9.926267667E-4,-6.108472589E-4,1.985253533E-3
3.225285460E-1,8.399150101E-4,-6.108472589E-4,-4.581354442E-4
3.249544830E-1,1.450762269E-3,-6.108472589E-4,1.527118147E-4
3.273804210E-1,8.399150101E-4,-1.221694518E-3,-1.068982761E-3
3.298063580E-1,1.450762269E-3,-6.108472589E-4,-4.581354442E-4
3.322322960E-1,2.290677221E-4,-6.108472589E-4,7.635590737E-4
3.346582330E-1,8.399150101E-4,6.108472589E-4,1.527118147E-4
3.370841710E-1,8.399150101E-4,-0.000000000E0,7.635590737E-4
3.395101080E-1,2.290677221E-4,6.108472589E-4,1.374406274E-3
3.419360460E-1,-3.817795368E-4,6.108472589E-4,-4.581354442E-4
3.443619830E-1,-9.926267667E-4,6.108472589E-4,1.527118147E-4
3.467879210E-1,2.290677221E-4,6.108472589E-4,1.527118147E-4
3.492138580E-1,1.450762269E-3,-0.000000000E0,7.635590737E-4
3.516397960E-1,8.399150101E-4,6.108472589E-4,-4.581354442E-4
3.540657330E-1,2.672456671E-3,-6.108472589E-4,1.527118147E-4
3.564916710E-1,-3.817795368E-4,-6.108472589E-4,1.527118147E-4
3.589176080E-1,2.672456671E-3,-2.443389036E-3,-1.068982761E-3
3.613435460E-1,-9.926267667E-4,-6.108472589E-4,-4.581354442E-4
3.637694310E-1,8.399150101E-4,-1.221694518E-3,-1.679830020E-3
3.661953690E-1,2.290677221E-4,-1.221694518E-3,-4.581354442E-4
3.686213060E-1,-9.926267667E-4,-0.000000000E0,1.527118147E-4
3.710472440E-1,-3.817795368E-4,-6.108472589E-4,7.635590737E-4
3.734731810E-1,-9.926267667E-4,-0.000000000E0,1.527118147E-4
3.758991190E-1,-3.817795368E-4,-6.108472589E-4,7.635590737E-4
3.783250560E-1,-3.817795368E-4,6.108472589E-4,-4.581354442E-4
3.807509940E-1,-9.926267667E-4,6.108472589E-4,-4.581354442E-4
3.831769310E-1,8.399150101E-4,-6.108472589E-4,1.527118147E-4
