"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
7.032140900E-2,6.108472589E-4,6.872031372E-4,1.756185899E-3,1.982314666E-3
7.274724200E-2,-6.108472589E-4,6.872031372E-4,-6.872031372E-4,1.147880951E-3
7.517307500E-2,6.108472589E-4,-1.756185899E-3,5.344913807E-4,1.934684553E-3
7.759890900E-2,-1.221694518E-3,7.635590737E-5,-7.635590737E-5,1.226457478E-3
8.002474200E-2,-6.108472589E-4,7.635590737E-5,-1.298050396E-3,1.436627798E-3
8.245057500E-2,-1.221694518E-3,-1.145338640E-3,1.756185899E-3,2.426628732E-3
8.487640900E-2,1.221694518E-3,7.635590737E-5,-2.519744914E-3,2.801335780E-3
8.730224200E-2,6.108472589E-4,-2.367033157E-3,2.977880416E-3,3.852759027E-3
8.972807500E-2,-0.000000000E0,-5.344913807E-4,-3.741439432E-3,3.779424567E-3
9.215396100E-2,-0.000000000E0,7.635590737E-5,1.756185899E-3,1.757845026E-3
9.457979400E-2,-1.832541777E-3,7.635590737E-5,-2.519744914E-3,3.116593336E-3
9.700562700E-2,6.108472589E-4,6.872031372E-4,1.145338640E-3,1.468735213E-3
9.943146100E-2,6.108472589E-4,1.298050396E-3,-7.635590737E-5,1.436627798E-3
1.018572940E-1,1.221694518E-3,-1.756185899E-3,-2.519744914E-3,3.305425969E-3
1.042831270E-1,1.221694518E-3,-5.344913807E-4,1.145338640E-3,1.757845025E-3
1.067089610E-1,-6.108472589E-4,-5.344913807E-4,-6.872031372E-4,1.063514721E-3
1.091347940E-1,-0.000000000E0,-1.756185899E-3,1.756185899E-3,2.483621916E-3
1.115606270E-1,-1.221694518E-3,6.872031372E-4,-6.872031372E-4,1.561100189E-3
1.139864610E-1,6.108472589E-4,-1.756185899E-3,1.756185899E-3,2.557638011E-3
1.164122940E-1,-0.000000000E0,-1.145338640E-3,-2.519744914E-3,2.767835803E-3
1.188381270E-1,-6.108472589E-4,-5.344913807E-4,1.145338640E-3,1.403786312E-3
1.212639610E-1,-0.000000000E0,-5.344913807E-4,-7.635590737E-5,5.399178276E-4
1.236897940E-1,-6.108472589E-4,1.298050396E-3,-6.872031372E-4,1.590697129E-3
