"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
6.270595700E-2,-1.603474026E-3,1.298050396E-3,-4.275931045E-3,4.747594137E-3
6.513179100E-2,2.061609412E-3,-2.367033157E-3,3.665083554E-3,4.825548341E-3
6.755762400E-2,-9.926267667E-4,2.519744914E-3,-3.665083554E-3,4.557110903E-3
6.998350900E-2,8.399150101E-4,1.908897655E-3,1.221694518E-3,2.416999168E-3
7.240934300E-2,3.283303929E-3,7.635590737E-5,0.000000000E0,3.284191669E-3
7.483517600E-2,8.399150101E-4,2.519744914E-3,-6.108472589E-4,2.725381814E-3
7.726106100E-2,2.061609412E-3,-1.756185899E-3,1.832541777E-3,3.269958966E-3
7.968689500E-2,8.399150101E-4,7.635590737E-5,0.000000000E0,8.433785917E-4
8.211272800E-2,-3.817795368E-4,1.908897655E-3,3.054236295E-3,3.621878686E-3
8.453856100E-2,2.290677221E-4,7.635590737E-5,-2.443389036E-3,2.455290660E-3
8.696439500E-2,8.399150101E-4,1.298050396E-3,3.054236295E-3,3.423266189E-3
8.939022800E-2,8.399150101E-4,-5.344913807E-4,-1.221694518E-3,1.575968196E-3
9.181611300E-2,8.399150101E-4,-1.145338640E-3,1.221694518E-3,1.873444773E-3
9.424194700E-2,-3.817795368E-4,6.872031372E-4,0.000000000E0,7.861321559E-4
9.666778000E-2,2.290677221E-4,-1.756185899E-3,6.108472589E-4,1.873444770E-3
9.909361300E-2,2.290677221E-4,6.872031372E-4,1.221694518E-3,1.420301964E-3
1.015194470E-1,-3.817795368E-4,1.298050396E-3,-1.832541777E-3,2.277915672E-3
1.039453320E-1,8.399150101E-4,-5.344913807E-4,3.054236295E-3,3.212397485E-3
1.063711660E-1,8.399150101E-4,7.635590737E-5,-2.443389036E-3,2.584847661E-3
1.087969990E-1,-3.817795368E-4,7.635590737E-5,1.221694518E-3,1.282233728E-3
1.112228320E-1,2.290677221E-4,6.872031372E-4,-1.221694518E-3,1.420301964E-3
1.136487180E-1,8.399150101E-4,6.872031372E-4,2.443389036E-3,2.673547336E-3
1.160745510E-1,8.399150101E-4,1.908897655E-3,6.108472589E-4,2.173127206E-3
1.185003840E-1,2.290677221E-4,7.635590737E-5,1.832541777E-3,1.848380808E-3
1.209262180E-1,2.290677221E-4,1.298050396E-3,6.108472589E-4,1.452770190E-3
1.233520510E-1,2.290677221E-4,6.872031372E-4,-1.832541777E-3,1.970515044E-3
1.257779360E-1,8.399150101E-4,-1.756185899E-3,6.108472589E-4,2.040289320E-3
1.282037700E-1,8.399150101E-4,-5.344913807E-4,-1.221694518E-3,1.575968196E-3
1.306296030E-1,2.290677221E-4,-1.145338640E-3,0.000000000E0,1.168020813E-3
1.330554360E-1,8.399150101E-4,6.872031372E-4,-1.832541777E-3,2.129768706E-3
1.354812700E-1,2.290677221E-4,6.872031372E-4,1.832541777E-3,1.970515044E-3
1.379071030E-1,2.290677221E-4,6.872031372E-4,-6.108472589E-4,9.475518703E-4
1.403329880E-1,8.399150101E-4,-5.344913807E-4,1.832541777E-3,2.085508960E-3
1.427588220E-1,-9.926267667E-4,7.635590737E-5,1.221694518E-3,1.575968152E-3
1.451846550E-1,2.290677221E-4,-5.344913807E-4,-6.108472589E-4,8.433785811E-4
1.476104880E-1,-3.817795368E-4,6.872031372E-4,-6.108472589E-4,9.955592098E-4
1.500363740E-1,8.399150101E-4,-5.344913807E-4,-6.108472589E-4,1.168020819E-3
1.524622070E-1,2.290677221E-4,7.635590737E-5,0.000000000E0,2.414585801E-4
1.548880410E-1,-9.926267667E-4,1.298050396E-3,-6.108472589E-4,1.744527759E-3
1.573138740E-1,-3.817795368E-4,7.635590737E-5,1.221694518E-3,1.282233728E-3
1.597397590E-1,2.290677221E-4,1.908897655E-3,-6.108472589E-4,2.017299346E-3
1.621655930E-1,2.290677221E-4,6.872031372E-4,0.000000000E0,7.243757127E-4
1.645914260E-1,8.399150101E-4,6.872031372E-4,0.000000000E0,1.085221349E-3
1.670172590E-1,2.290677221E-4,7.635590737E-5,-6.108472589E-4,6.568383512E-4
1.694430930E-1,8.399150101E-4,6.872031372E-4,1.221694518E-3,1.634087779E-3
1.718689780E-1,2.290677221E-4,1.298050396E-3,1.221694518E-3,1.797204592E-3
1.742948110E-1,1.450762269E-3,6.872031372E-4,6.108472589E-4,1.717583677E-3
1.767206450E-1,1.450762269E-3,7.635590737E-5,1.221694518E-3,1.898177779E-3
1.791464780E-1,8.399150101E-4,-5.344913807E-4,1.221694518E-3,1.575968196E-3
1.815723110E-1,-3.817795368E-4,-5.344913807E-4,-1.221694518E-3,1.387073951E-3
1.839981970E-1,2.290677221E-4,7.635590737E-5,6.108472589E-4,6.568383512E-4
1.864240300E-1,2.290677221E-4,7.635590737E-5,0.000000000E0,2.414585801E-4
1.888498630E-1,8.399150101E-4,1.298050396E-3,1.832541777E-3,2.397624120E-3
1.912756970E-1,2.290677221E-4,-1.145338640E-3,-6.108472589E-4,1.318107353E-3
1.937015300E-1,1.450762269E-3,-5.344913807E-4,0.000000000E0,1.546089324E-3
1.961274160E-1,1.450762269E-3,1.298050396E-3,1.221694518E-3,2.298300130E-3
1.985532490E-1,2.290677221E-4,6.872031372E-4,-1.221694518E-3,1.420301964E-3
2.009790820E-1,-3.817795368E-4,6.872031372E-4,0.000000000E0,7.861321559E-4
2.034049160E-1,8.399150101E-4,7.635590737E-5,-1.221694518E-3,1.484528526E-3
2.058307490E-1,-3.817795368E-4,7.635590737E-5,0.000000000E0,3.893402616E-4
2.082566340E-1,8.399150101E-4,6.872031372E-4,-1.221694518E-3,1.634087779E-3
2.106824680E-1,-3.817795368E-4,7.635590737E-5,1.221694518E-3,1.282233728E-3
2.131083010E-1,-3.817795368E-4,6.872031372E-4,-6.108472589E-4,9.955592098E-4
2.155341340E-1,2.290677221E-4,7.635590737E-5,1.221694518E-3,1.245327162E-3
2.179600200E-1,2.290677221E-4,6.872031372E-4,6.108472589E-4,9.475518703E-4
2.203858530E-1,-9.926267667E-4,7.635590737E-5,0.000000000E0,9.955592009E-4
2.228116860E-1,-3.817795368E-4,-5.344913807E-4,0.000000000E0,6.568383749E-4
2.252375200E-1,-3.817795368E-4,-5.344913807E-4,0.000000000E0,6.568383749E-4
2.276633530E-1,-9.926267667E-4,6.872031372E-4,1.832541777E-3,2.194485227E-3
2.300892380E-1,8.399150101E-4,-5.344913807E-4,6.108472589E-4,1.168020819E-3
2.325150720E-1,2.290677221E-4,6.872031372E-4,1.221694518E-3,1.420301964E-3
